year,battery,node,MC,capital_cost,hour_capacity,cdrate,P_discharge_max,P_discharge_min,P_charge_max,P_charge_min,SOC_max,SOC_min,delta,eta_charge,eta_discharge,new_capacity,cum_new_capacity,total_capacity
2025,ES1 0 bat,ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2030,ES1 0 bat,ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2040,ES1 0 bat,ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,15330.195878449304,15330.195878449304,15330.195878449304
2050,ES1 0 bat,ES1 0,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,15330.195878449304,15330.195878449304
2025,ES1 1 bat,ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2030,ES1 1 bat,ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2040,ES1 1 bat,ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2050,ES1 1 bat,ES1 1,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2025,ES1 2 bat,ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2030,ES1 2 bat,ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2040,ES1 2 bat,ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
2050,ES1 2 bat,ES1 2,0,21958.9249402013,2,1.0,100000000,0,100000000.0,0,0.9,0.1,4.168664498693797e-05,0.98,0.97,0.0,0.0,0.0
