year,branch,dual_value
2025,88,-609070.4068847706
2030,88,-39711.017617983394
2040,88,0.0
2050,88,0.0
2025,89,0.0
2030,89,0.0
2040,89,0.0
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-89770.02851028852
2030,91,0.0
2040,91,0.0
2050,91,0.0
2025,92,0.0
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-194450.6180075951
2030,93,-6682.5381287781875
2040,93,0.0
2050,93,0.0
2025,95,-243224.67773827497
2030,95,-7605.4071413531265
2040,95,0.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-120463.70920636432
2030,99,0.0
2040,99,0.0
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,-185305.219704874
2030,101,-4061.346509320537
2040,101,0.0
2050,101,0.0
2025,102,0.0
2030,102,0.0
2040,102,0.0
2050,102,0.0
2025,103,-7747.596529036586
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-41382.92140450742
2030,104,0.0
2040,104,0.0
2050,104,0.0
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-283765.80056173896
2030,106,-18227.206135421897
2040,106,0.0
2050,106,0.0
2025,107,-196658.37085208393
2030,107,-1168.5084749648918
2040,107,0.0
2050,107,0.0
2025,219,0.0
2030,219,0.0
2040,219,0.0
2050,219,0.0
