year,branch,value
2025,88,5000.0
2030,88,161.47600863919888
2040,88,0.0
2050,88,0.0
2025,89,1109.5588885407194
2030,89,0.0
2040,89,0.0
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,5000.0
2030,91,0.0
2040,91,0.0
2050,91,0.0
2025,92,2387.050023334372
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,5000.0
2030,93,0.0
2040,93,0.0
2050,93,0.0
2025,95,5000.0
2030,95,0.0
2040,95,0.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,5000.0
2030,99,0.0
2040,99,0.0
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,5000.0
2030,101,0.0
2040,101,0.0
2050,101,0.0
2025,102,0.0
2030,102,0.0
2040,102,0.0
2050,102,0.0
2025,103,4955.885380907435
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,5000.0
2030,104,0.0
2040,104,0.0
2050,104,0.0
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,5000.0
2030,106,998.8673489847279
2040,106,0.0
2050,106,0.0
2025,107,5000.0
2030,107,0.0
2040,107,0.0
2050,107,0.0
2025,219,3460.576278136684
2030,219,0.0
2040,219,0.0
2050,219,0.0
