generator,value
ES1 0 CCGT new,0.0
ES1 0 coal new,0.0
ES1 0 offwind-ac new,0.0
ES1 0 onwind new,0.0
ES1 0 solar new,220.65727806230498
ES1 1 CCGT new,0.0
ES1 1 coal new,0.0
ES1 1 offwind-ac new,0.0
ES1 1 onwind new,0.0
ES1 1 solar new,199.52839615625658
ES1 2 CCGT new,0.0
ES1 2 coal new,0.0
ES1 2 offwind-ac new,0.0
ES1 2 onwind new,0.0
ES1 2 ror new,0.0
ES1 2 solar new,251.6865818757179
ES1 3 CCGT new,0.0
ES1 3 coal new,0.0
ES1 3 offwind-ac new,0.0
ES1 3 onwind new,0.0
ES1 3 solar new,443.038407271585
ES1 4 CCGT new,0.0
ES1 4 coal new,0.0
ES1 4 offwind-ac new,0.0
ES1 4 onwind new,0.0
ES1 4 solar new,128.84420884985158
ES1 5 CCGT new,0.0
ES1 5 onwind new,0.0
ES1 5 solar new,454.1967873073651
ES1 6 CCGT new,0.0
ES1 6 offwind-ac new,0.0
ES1 6 onwind new,0.0
ES1 6 solar new,201.90010666100912
ES1 7 CCGT new,0.0
ES1 7 onwind new,0.0
ES1 7 solar new,330.2227232972587
ES1 8 CCGT new,0.0
ES1 8 offwind-ac new,0.0
ES1 8 onwind new,0.0
ES1 8 ror new,0.0
ES1 8 solar new,106.24136512638415
PT1 0 CCGT new,0.0
PT1 0 offwind-ac new,0.0
PT1 0 onwind new,0.0
PT1 0 ror new,0.0
PT1 0 solar new,75.47328023624185
PT1 1 CCGT new,0.0
PT1 1 offwind-ac new,0.0
PT1 1 onwind new,0.0
PT1 1 ror new,0.0
PT1 1 solar new,129.61471976375816
