year,branch,dual_value
2025,88,-419882.5350977103
2030,88,-15197.567943877226
2040,88,0.0
2050,88,0.0
2025,89,-0.0
2030,89,0.0
2040,89,0.0
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-47588.7239946516
2030,91,0.0
2040,91,0.0
2050,91,0.0
2025,92,0.0
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-140173.6717337339
2030,93,0.0
2040,93,0.0
2050,93,0.0
2025,95,-165079.09670728107
2030,95,0.0
2040,95,0.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-76594.25518186639
2030,99,0.0
2040,99,0.0
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,-128168.29912960828
2030,101,0.0
2040,101,0.0
2050,101,0.0
2025,102,0.0
2030,102,0.0
2040,102,0.0
2050,102,0.0
2025,103,0.0
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-25369.51539735879
2030,104,0.0
2040,104,0.0
2050,104,0.0
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-193328.82944502155
2030,106,-8060.5563563439755
2040,106,0.0
2050,106,0.0
2025,107,-133486.11120021195
2030,107,0.0
2040,107,0.0
2050,107,0.0
2025,219,0.0
2030,219,0.0
2040,219,0.0
2050,219,0.0
