scenario,year,week,hour,branch,dual_value
NT,2025,5,0,88,0.0
NT,2025,5,1,88,0.0
NT,2025,5,2,88,0.0
NT,2025,5,3,88,0.0
NT,2025,5,4,88,0.0
NT,2025,5,5,88,0.0
NT,2025,5,6,88,0.0
NT,2025,5,7,88,0.0
NT,2025,5,8,88,0.0
NT,2025,5,9,88,0.0
NT,2025,5,10,88,0.0
NT,2025,5,11,88,0.0
NT,2025,5,12,88,0.0
NT,2025,5,13,88,0.0
NT,2025,5,14,88,0.0
NT,2025,5,15,88,0.0
NT,2025,5,16,88,0.0
NT,2025,5,17,88,0.0
NT,2025,5,18,88,0.0
NT,2025,5,19,88,0.0
NT,2025,5,20,88,0.0
NT,2025,5,21,88,0.0
NT,2025,5,22,88,0.0
NT,2025,5,23,88,0.0
NT,2025,5,24,88,0.0
NT,2025,5,25,88,0.0
NT,2025,5,26,88,0.0
NT,2025,5,27,88,0.0
NT,2025,5,28,88,0.0
NT,2025,5,29,88,0.0
NT,2025,5,30,88,0.0
NT,2025,5,31,88,0.0
NT,2025,5,32,88,0.0
NT,2025,5,33,88,0.0
NT,2025,5,34,88,0.0
NT,2025,5,35,88,0.0
NT,2025,5,36,88,0.0
NT,2025,5,37,88,0.0
NT,2025,5,38,88,0.0
NT,2025,5,39,88,0.0
NT,2025,5,40,88,0.0
NT,2025,5,41,88,0.0
NT,2025,5,42,88,0.0
NT,2025,5,43,88,0.0
NT,2025,5,44,88,0.0
NT,2025,5,45,88,0.0
NT,2025,5,46,88,0.0
NT,2025,5,47,88,0.0
NT,2025,5,48,88,0.0
NT,2025,5,49,88,0.0
NT,2025,5,50,88,0.0
NT,2025,5,51,88,0.0
NT,2025,5,52,88,0.0
NT,2025,5,53,88,0.0
NT,2025,5,54,88,0.0
NT,2025,5,55,88,0.0
NT,2025,5,56,88,0.0
NT,2025,5,57,88,0.0
NT,2025,5,58,88,0.0
NT,2025,5,59,88,0.0
NT,2025,5,60,88,0.0
NT,2025,5,61,88,0.0
NT,2025,5,62,88,0.0
NT,2025,5,63,88,0.0
NT,2025,5,64,88,0.0
NT,2025,5,65,88,0.0
NT,2025,5,66,88,0.0
NT,2025,5,67,88,0.0
NT,2025,5,68,88,0.0
NT,2025,5,69,88,0.0
NT,2025,5,70,88,0.0
NT,2025,5,71,88,0.0
NT,2025,5,72,88,0.0
NT,2025,5,73,88,0.0
NT,2025,5,74,88,0.0
NT,2025,5,75,88,0.0
NT,2025,5,76,88,0.0
NT,2025,5,77,88,0.0
NT,2025,5,78,88,0.0
NT,2025,5,79,88,0.0
NT,2025,5,80,88,0.0
NT,2025,5,81,88,0.0
NT,2025,5,82,88,0.0
NT,2025,5,83,88,0.0
NT,2025,5,84,88,0.0
NT,2025,5,85,88,0.0
NT,2025,5,86,88,0.0
NT,2025,5,87,88,0.0
NT,2025,5,88,88,0.0
NT,2025,5,89,88,0.0
NT,2025,5,90,88,0.0
NT,2025,5,91,88,0.0
NT,2025,5,92,88,0.0
NT,2025,5,93,88,0.0
NT,2025,5,94,88,0.0
NT,2025,5,95,88,0.0
NT,2025,5,96,88,0.0
NT,2025,5,97,88,0.0
NT,2025,5,98,88,0.0
NT,2025,5,99,88,0.0
NT,2025,5,100,88,0.0
NT,2025,5,101,88,0.0
NT,2025,5,102,88,0.0
NT,2025,5,103,88,0.0
NT,2025,5,104,88,0.0
NT,2025,5,105,88,0.0
NT,2025,5,106,88,0.0
NT,2025,5,107,88,0.0
NT,2025,5,108,88,0.0
NT,2025,5,109,88,0.0
NT,2025,5,110,88,0.0
NT,2025,5,111,88,0.0
NT,2025,5,112,88,0.0
NT,2025,5,113,88,0.0
NT,2025,5,114,88,0.0
NT,2025,5,115,88,0.0
NT,2025,5,116,88,0.0
NT,2025,5,117,88,0.0
NT,2025,5,118,88,0.0
NT,2025,5,119,88,0.0
NT,2025,5,120,88,0.0
NT,2025,5,121,88,0.0
NT,2025,5,122,88,0.0
NT,2025,5,123,88,0.0
NT,2025,5,124,88,0.0
NT,2025,5,125,88,0.0
NT,2025,5,126,88,0.0
NT,2025,5,127,88,0.0
NT,2025,5,128,88,0.0
NT,2025,5,129,88,0.0
NT,2025,5,130,88,0.0
NT,2025,5,131,88,0.0
NT,2025,5,132,88,0.0
NT,2025,5,133,88,0.0
NT,2025,5,134,88,0.0
NT,2025,5,135,88,0.0
NT,2025,5,136,88,0.0
NT,2025,5,137,88,0.0
NT,2025,5,138,88,0.0
NT,2025,5,139,88,0.0
NT,2025,5,140,88,0.0
NT,2025,5,141,88,0.0
NT,2025,5,142,88,0.0
NT,2025,5,143,88,0.0
NT,2025,5,144,88,0.0
NT,2025,5,145,88,0.0
NT,2025,5,146,88,0.0
NT,2025,5,147,88,0.0
NT,2025,5,148,88,0.0
NT,2025,5,149,88,0.0
NT,2025,5,150,88,0.0
NT,2025,5,151,88,0.0
NT,2025,5,152,88,0.0
NT,2025,5,153,88,0.0
NT,2025,5,154,88,0.0
NT,2025,5,155,88,0.0
NT,2025,5,156,88,0.0
NT,2025,5,157,88,0.0
NT,2025,5,158,88,0.0
NT,2025,5,159,88,0.0
NT,2025,5,160,88,0.0
NT,2025,5,161,88,0.0
NT,2025,5,162,88,0.0
NT,2025,5,163,88,0.0
NT,2025,5,164,88,0.0
NT,2025,5,165,88,0.0
NT,2025,5,166,88,0.0
NT,2025,5,167,88,0.0
NT,2025,8,0,88,0.0
NT,2025,8,1,88,0.0
NT,2025,8,2,88,0.0
NT,2025,8,3,88,0.0
NT,2025,8,4,88,0.0
NT,2025,8,5,88,0.0
NT,2025,8,6,88,0.0
NT,2025,8,7,88,0.0
NT,2025,8,8,88,0.0
NT,2025,8,9,88,0.0
NT,2025,8,10,88,0.0
NT,2025,8,11,88,0.0
NT,2025,8,12,88,0.0
NT,2025,8,13,88,0.0
NT,2025,8,14,88,0.0
NT,2025,8,15,88,0.0
NT,2025,8,16,88,0.0
NT,2025,8,17,88,0.0
NT,2025,8,18,88,0.0
NT,2025,8,19,88,0.0
NT,2025,8,20,88,0.0
NT,2025,8,21,88,0.0
NT,2025,8,22,88,0.0
NT,2025,8,23,88,0.0
NT,2025,8,24,88,0.0
NT,2025,8,25,88,0.0
NT,2025,8,26,88,0.0
NT,2025,8,27,88,0.0
NT,2025,8,28,88,0.0
NT,2025,8,29,88,0.0
NT,2025,8,30,88,0.0
NT,2025,8,31,88,0.0
NT,2025,8,32,88,0.0
NT,2025,8,33,88,0.0
NT,2025,8,34,88,0.0
NT,2025,8,35,88,0.0
NT,2025,8,36,88,0.0
NT,2025,8,37,88,0.0
NT,2025,8,38,88,0.0
NT,2025,8,39,88,0.0
NT,2025,8,40,88,0.0
NT,2025,8,41,88,0.0
NT,2025,8,42,88,0.0
NT,2025,8,43,88,0.0
NT,2025,8,44,88,0.0
NT,2025,8,45,88,0.0
NT,2025,8,46,88,0.0
NT,2025,8,47,88,0.0
NT,2025,8,48,88,0.0
NT,2025,8,49,88,0.0
NT,2025,8,50,88,0.0
NT,2025,8,51,88,0.0
NT,2025,8,52,88,0.0
NT,2025,8,53,88,0.0
NT,2025,8,54,88,0.0
NT,2025,8,55,88,0.0
NT,2025,8,56,88,0.0
NT,2025,8,57,88,0.0
NT,2025,8,58,88,0.0
NT,2025,8,59,88,0.0
NT,2025,8,60,88,0.0
NT,2025,8,61,88,0.0
NT,2025,8,62,88,0.0
NT,2025,8,63,88,0.0
NT,2025,8,64,88,0.0
NT,2025,8,65,88,0.0
NT,2025,8,66,88,0.0
NT,2025,8,67,88,0.0
NT,2025,8,68,88,0.0
NT,2025,8,69,88,0.0
NT,2025,8,70,88,0.0
NT,2025,8,71,88,0.0
NT,2025,8,72,88,0.0
NT,2025,8,73,88,0.0
NT,2025,8,74,88,0.0
NT,2025,8,75,88,0.0
NT,2025,8,76,88,0.0
NT,2025,8,77,88,0.0
NT,2025,8,78,88,0.0
NT,2025,8,79,88,0.0
NT,2025,8,80,88,0.0
NT,2025,8,81,88,0.0
NT,2025,8,82,88,0.0
NT,2025,8,83,88,0.0
NT,2025,8,84,88,0.0
NT,2025,8,85,88,0.0
NT,2025,8,86,88,0.0
NT,2025,8,87,88,0.0
NT,2025,8,88,88,0.0
NT,2025,8,89,88,0.0
NT,2025,8,90,88,0.0
NT,2025,8,91,88,0.0
NT,2025,8,92,88,0.0
NT,2025,8,93,88,0.0
NT,2025,8,94,88,0.0
NT,2025,8,95,88,0.0
NT,2025,8,96,88,0.0
NT,2025,8,97,88,0.0
