scenario,year,week,hour,generator,dual_value
mean,2025,13,65,ES1 0 CCGT,0.0
mean,2025,13,66,ES1 0 CCGT,0.0
mean,2025,13,67,ES1 0 CCGT,-3.0952606022351237
mean,2025,13,68,ES1 0 CCGT,-4.216844832326958
mean,2025,13,69,ES1 0 CCGT,0.0
mean,2025,13,70,ES1 0 CCGT,0.0
mean,2025,13,71,ES1 0 CCGT,0.0
mean,2025,13,72,ES1 0 CCGT,0.0
mean,2025,13,73,ES1 0 CCGT,0.0
mean,2025,13,74,ES1 0 CCGT,0.0
mean,2025,13,75,ES1 0 CCGT,0.0
mean,2025,13,76,ES1 0 CCGT,0.0
mean,2025,13,77,ES1 0 CCGT,0.0
mean,2025,13,78,ES1 0 CCGT,0.0
mean,2025,13,79,ES1 0 CCGT,0.0
mean,2025,13,80,ES1 0 CCGT,0.0
mean,2025,13,81,ES1 0 CCGT,0.0
mean,2025,13,82,ES1 0 CCGT,0.0
mean,2025,13,83,ES1 0 CCGT,0.0
mean,2025,13,84,ES1 0 CCGT,0.0
mean,2025,13,85,ES1 0 CCGT,0.0
mean,2025,13,86,ES1 0 CCGT,0.0
mean,2025,13,87,ES1 0 CCGT,0.0
mean,2025,13,88,ES1 0 CCGT,0.0
mean,2025,13,89,ES1 0 CCGT,0.0
mean,2025,13,90,ES1 0 CCGT,0.0
mean,2025,13,91,ES1 0 CCGT,0.0
mean,2025,13,92,ES1 0 CCGT,0.0
mean,2025,13,93,ES1 0 CCGT,0.0
mean,2025,13,94,ES1 0 CCGT,0.0
mean,2025,13,95,ES1 0 CCGT,0.0
mean,2025,13,96,ES1 0 CCGT,0.0
mean,2025,13,97,ES1 0 CCGT,0.0
mean,2025,13,98,ES1 0 CCGT,0.0
mean,2025,13,99,ES1 0 CCGT,0.0
mean,2025,13,100,ES1 0 CCGT,0.0
mean,2025,13,101,ES1 0 CCGT,0.0
mean,2025,13,102,ES1 0 CCGT,0.0
mean,2025,13,103,ES1 0 CCGT,0.0
mean,2025,13,104,ES1 0 CCGT,0.0
mean,2025,13,105,ES1 0 CCGT,0.0
mean,2025,13,106,ES1 0 CCGT,0.0
mean,2025,13,107,ES1 0 CCGT,0.0
mean,2025,13,108,ES1 0 CCGT,0.0
mean,2025,13,109,ES1 0 CCGT,0.0
mean,2025,13,110,ES1 0 CCGT,0.0
mean,2025,13,111,ES1 0 CCGT,0.0
mean,2025,13,112,ES1 0 CCGT,0.0
mean,2025,13,113,ES1 0 CCGT,0.0
mean,2025,13,114,ES1 0 CCGT,0.0
mean,2025,13,115,ES1 0 CCGT,0.0
mean,2025,13,116,ES1 0 CCGT,0.0
mean,2025,13,117,ES1 0 CCGT,0.0
mean,2025,13,118,ES1 0 CCGT,0.0
mean,2025,13,119,ES1 0 CCGT,0.0
mean,2025,13,120,ES1 0 CCGT,0.0
mean,2025,13,121,ES1 0 CCGT,0.0
mean,2025,13,122,ES1 0 CCGT,0.0
mean,2025,13,123,ES1 0 CCGT,0.0
mean,2025,13,124,ES1 0 CCGT,0.0
mean,2025,13,125,ES1 0 CCGT,0.0
mean,2025,13,126,ES1 0 CCGT,0.0
mean,2025,13,127,ES1 0 CCGT,0.0
mean,2025,13,128,ES1 0 CCGT,0.0
mean,2025,13,129,ES1 0 CCGT,0.0
mean,2025,13,130,ES1 0 CCGT,0.0
mean,2025,13,131,ES1 0 CCGT,0.0
mean,2025,13,132,ES1 0 CCGT,0.0
mean,2025,13,133,ES1 0 CCGT,0.0
mean,2025,13,134,ES1 0 CCGT,0.0
mean,2025,13,135,ES1 0 CCGT,0.0
mean,2025,13,136,ES1 0 CCGT,0.0
mean,2025,13,137,ES1 0 CCGT,0.0
mean,2025,13,138,ES1 0 CCGT,0.0
mean,2025,13,139,ES1 0 CCGT,0.0
mean,2025,13,140,ES1 0 CCGT,0.0
mean,2025,13,141,ES1 0 CCGT,0.0
mean,2025,13,142,ES1 0 CCGT,0.0
mean,2025,13,143,ES1 0 CCGT,0.0
mean,2025,13,144,ES1 0 CCGT,0.0
mean,2025,13,145,ES1 0 CCGT,0.0
mean,2025,13,146,ES1 0 CCGT,0.0
mean,2025,13,147,ES1 0 CCGT,0.0
mean,2025,13,148,ES1 0 CCGT,0.0
mean,2025,13,149,ES1 0 CCGT,0.0
mean,2025,13,150,ES1 0 CCGT,0.0
