,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,-0.0,1.0,24409,23.586309523809522,2222,3916,10956,7315
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,165,0.15943877551020408,0,0,165,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,4,0.003865182436611008,0,0,0,4
8,8.0,9.0,73,0.0705395794681509,0,0,0,73
9,9.0,10.0,42,0.040584415584415584,0,0,0,42
10,10.0,11.0,24,0.02319109461966605,0,0,0,24
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,0,0.0,0,0,0,0
39,39.0,40.0,0,0.0,0,0,0,0
40,40.0,41.0,0,0.0,0,0,0,0
41,41.0,42.0,0,0.0,0,0,0,0
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,0,0.0,0,0,0,0
44,44.0,45.0,0,0.0,0,0,0,0
45,45.0,46.0,0,0.0,0,0,0,0
46,46.0,47.0,0,0.0,0,0,0,0
47,47.0,48.0,0,0.0,0,0,0,0
48,48.0,49.0,79,0.0763373531230674,14,26,28,11
49,49.0,50.0,899,0.8686997526283241,141,211,316,231
50,50.0,51.0,1549,1.496791898577613,123,302,644,480
51,51.0,52.0,736,0.7111935683364254,8,88,313,327
52,52.0,53.0,985,0.9518011750154607,30,90,425,440
53,53.0,54.0,7480,7.227891156462585,908,1287,3174,2111
54,54.0,55.0,25249,24.397997835497836,4570,4136,10397,6146
55,55.0,56.0,19467,18.810876623376625,3947,2782,7875,4863
56,56.0,57.0,11521,11.132691713048857,1900,1363,4993,3265
57,57.0,58.0,6953,6.7186533704390845,752,490,3335,2376
58,58.0,59.0,2383,2.302682436611008,160,87,1165,971
59,59.0,60.0,472,0.4560915275200989,8,6,270,188
60,60.0,61.0,301,0.29085497835497837,1,0,144,156
61,61.0,62.0,174,0.16813543599257885,0,0,78,96
62,62.0,63.0,144,0.13914656771799627,0,0,19,125
63,63.0,64.0,38,0.03671923314780458,0,0,0,38
64,64.0,65.0,0,0.0,0,0,0,0
65,65.0,66.0,0,0.0,0,0,0,0
66,66.0,67.0,10,0.00966295609152752,0,0,5,5
67,67.0,68.0,31,0.029955163883735314,0,0,10,21
68,68.0,69.0,76,0.07343846629560916,0,0,25,51
69,69.0,70.0,44,0.04251700680272109,0,0,15,29
70,70.0,inf,180,0.17393320964749537,0,0,0,180
