scenario,year,week,hour,branch,dual_value
mean,2025,11,0,88,0.0004222750694654259
mean,2025,11,1,88,0.0004222732396394371
mean,2025,11,2,88,0.0004222732396394371
mean,2025,11,3,88,0.0004222732396394371
mean,2025,11,4,88,0.0004222732396394371
mean,2025,11,5,88,0.0004222750694654259
mean,2025,11,6,88,0.00042339073656444566
mean,2025,11,7,88,0.0004260040855635578
mean,2025,11,8,88,0.0004222750694654259
mean,2025,11,9,88,0.0004222750694654259
mean,2025,11,10,88,0.0004222732396394371
mean,2025,11,11,88,0.0004222732396394371
mean,2025,11,12,88,0.0004222732396394371
mean,2025,11,13,88,0.0004222732396394371
mean,2025,11,14,88,0.0004222732396394371
mean,2025,11,15,88,0.0004222732396394371
mean,2025,11,16,88,0.0004222750694654259
mean,2025,11,17,88,0.0004222750694654259
mean,2025,11,18,88,0.00042342269302990615
mean,2025,11,19,88,0.0004260040855635578
mean,2025,11,20,88,0.0004260040855635578
mean,2025,11,21,88,0.0004260040855635578
mean,2025,11,22,88,0.00042342269302990615
mean,2025,11,23,88,0.0004222750694654259
mean,2025,11,24,88,0.0004222750694654259
mean,2025,11,25,88,0.00042353232554764023
mean,2025,11,26,88,0.00042353232554764023
mean,2025,11,27,88,0.0004260040855635578
mean,2025,11,28,88,0.0004260040855635578
mean,2025,11,29,88,0.00042624297720200965
mean,2025,11,30,88,0.00042740957467633713
mean,2025,11,31,88,0.00042743288294686845
mean,2025,11,32,88,0.00042740957467633713
mean,2025,11,33,88,0.00042624297720200965
mean,2025,11,34,88,0.00042740957467633713
mean,2025,11,35,88,0.00042624297720200965
mean,2025,11,36,88,0.00042740957467633713
mean,2025,11,37,88,0.00042740957467633713
mean,2025,11,38,88,0.0004282302805565015
mean,2025,11,39,88,0.0004681406649888036
mean,2025,11,40,88,0.00046966302155266383
mean,2025,11,41,88,0.0004703677815199358
mean,2025,11,42,88,0.00047349073706547253
mean,2025,11,43,88,0.00047349073706547253
mean,2025,11,44,88,0.00047349073706547253
mean,2025,11,45,88,0.00047349073706547253
mean,2025,11,46,88,0.00046966302155266383
mean,2025,11,47,88,0.00042624297720200965
mean,2025,11,48,88,0.0004260040855635578
mean,2025,11,49,88,0.0004222750694654259
mean,2025,11,50,88,0.0004222750694654259
mean,2025,11,51,88,0.0004222750694654259
mean,2025,11,52,88,0.0004222750694654259
mean,2025,11,53,88,0.00042342269302990615
mean,2025,11,54,88,0.0004260040855635578
mean,2025,11,55,88,0.0004260040855635578
mean,2025,11,56,88,0.0004222750694654259
mean,2025,11,57,88,0.0004222732396394371
mean,2025,11,58,88,0.0004222732396394371
mean,2025,11,59,88,0.0004222732396394371
mean,2025,11,60,88,0.0004222732396394371
mean,2025,11,61,88,0.00046271976413531253
mean,2025,11,62,88,0.0004222732396394371
mean,2025,11,63,88,0.0004222732396394371
mean,2025,11,64,88,0.0004222732396394371
mean,2025,11,65,88,0.0004222750694654259
mean,2025,11,66,88,0.00042624297720200965
mean,2025,11,67,88,0.00042624297720200965
mean,2025,11,68,88,0.00042624297720200965
mean,2025,11,69,88,0.0004260040855635578
mean,2025,11,70,88,0.0004260040855635578
mean,2025,11,71,88,0.00042339073656444566
mean,2025,11,72,88,0.0004222750694654259
mean,2025,11,73,88,0.0004222750694654259
mean,2025,11,74,88,0.0004222750694654259
mean,2025,11,75,88,0.0004222750694654259
mean,2025,11,76,88,0.00042339073656444566
mean,2025,11,77,88,0.0004260040855635578
mean,2025,11,78,88,0.00042624297720200965
mean,2025,11,79,88,0.00042743288294686845
mean,2025,11,80,88,0.00041783138046320355
mean,2025,11,81,88,0.0004222750694654259
mean,2025,11,82,88,0.0004222732396394371
mean,2025,11,83,88,0.0004222732396394371
mean,2025,11,84,88,0.0004222732396394371
mean,2025,11,85,88,0.0004222732396394371
mean,2025,11,86,88,0.0004222732396394371
mean,2025,11,87,88,0.0004222750694654259
mean,2025,11,88,88,0.0004260040855635578
mean,2025,11,89,88,0.00042740957467633713
mean,2025,11,90,88,0.00036662739222745447
mean,2025,11,91,88,149.61863328671905
mean,2025,11,92,88,149.61863328671905
mean,2025,11,93,88,0.00036662739222745447
mean,2025,11,94,88,0.00036662738491467946
mean,2025,11,95,88,0.00036219230007714223
mean,2025,11,96,88,0.00036219230007714223
mean,2025,11,97,88,0.00036219230007714223
mean,2025,11,98,88,0.00036219230007714223
mean,2025,11,99,88,0.00036219230007714223
mean,2025,11,100,88,0.00036219230007714223
mean,2025,11,101,88,149.61863328671905
mean,2025,11,102,88,178.73583742674847
mean,2025,11,103,88,177.18483138181975
mean,2025,11,104,88,178.76233811402813
mean,2025,11,105,88,0.00042743288294686845
mean,2025,11,106,88,0.00042743288294686845
mean,2025,11,107,88,0.00042743288294686845
mean,2025,11,108,88,0.00042339073656444566
mean,2025,11,109,88,0.0004222732396394371
mean,2025,11,110,88,0.00042743288294686845
mean,2025,11,111,88,177.35674660445497
mean,2025,11,112,88,179.23541181228308
mean,2025,11,113,88,180.3417295552401
mean,2025,11,114,88,180.44286034885323
mean,2025,11,115,88,180.44286034885323
mean,2025,11,116,88,180.44286034885323
mean,2025,11,117,88,180.44286034885323
mean,2025,11,118,88,180.3417295552401
mean,2025,11,119,88,179.29535114850117
mean,2025,11,120,88,195.39320226031472
mean,2025,11,121,88,195.88470015061685
mean,2025,11,122,88,0.000474108908892407
mean,2025,11,123,88,0.00047349073706547253
mean,2025,11,124,88,0.00047349073706547253
mean,2025,11,125,88,0.00047349073706547253
mean,2025,11,126,88,0.00047349073706547253
mean,2025,11,127,88,0.00047349073706547253
mean,2025,11,128,88,0.00047349073706547253
mean,2025,11,129,88,0.00046966302155266383
mean,2025,11,130,88,0.0004282302805565015
mean,2025,11,131,88,0.0004282302805565015
mean,2025,11,132,88,0.0004282302805565015
mean,2025,11,133,88,0.00042740957467633713
mean,2025,11,134,88,0.00042740957467633713
mean,2025,11,135,88,0.00042740957467633713
mean,2025,11,136,88,0.00042740957467633713
mean,2025,11,137,88,0.00043089292802594244
mean,2025,11,138,88,0.0004326668545789
mean,2025,11,139,88,177.35674660445497
mean,2025,11,140,88,194.8901251594032
mean,2025,11,141,88,194.8901251594032
mean,2025,11,142,88,194.8901251594032
mean,2025,11,143,88,177.35674660445497
mean,2025,11,144,88,0.0004326668545789
mean,2025,11,145,88,0.00043089292802594244
mean,2025,11,146,88,0.00043089292802594244
mean,2025,11,147,88,0.0004326668545789
mean,2025,11,148,88,0.0004326668545789
mean,2025,11,149,88,177.35674660445497
mean,2025,11,150,88,0.00043089292802594244
mean,2025,11,151,88,0.00043089292802594244
mean,2025,11,152,88,0.00043089292802594244
mean,2025,11,153,88,0.0004326668545789
mean,2025,11,154,88,0.0004326668545789
mean,2025,11,155,88,0.00042740957467633713
mean,2025,11,156,88,0.00042624297720200965
mean,2025,11,157,88,0.00042624297720200965
mean,2025,11,158,88,0.00042353232554764023
mean,2025,11,159,88,0.00042353232554764023
mean,2025,11,160,88,0.00042624297720200965
mean,2025,11,161,88,0.00042624297720200965
mean,2025,11,162,88,0.00042740957467633713
mean,2025,11,163,88,0.00046966302155266383
mean,2025,11,164,88,0.00046966302155266383
mean,2025,11,165,88,0.00042740957467633713
mean,2025,11,166,88,0.00042624297720200965
mean,2025,11,167,88,0.00042624297720200965
mean,2025,21,0,88,180.44286034885323
mean,2025,21,1,88,180.93671994631637
mean,2025,21,2,88,180.93671994631637
mean,2025,21,3,88,180.93671994631637
mean,2025,21,4,88,180.9465871141737
mean,2025,21,5,88,180.9465871141737
mean,2025,21,6,88,180.9465871141737
mean,2025,21,7,88,180.44286034885323
mean,2025,21,8,88,179.29535114850117
mean,2025,21,9,88,179.23541181228308
mean,2025,21,10,88,179.29535114850117
mean,2025,21,11,88,179.29535114850117
mean,2025,21,12,88,179.23541181228308
mean,2025,21,13,88,179.23541181228308
mean,2025,21,14,88,178.76311274036294
mean,2025,21,15,88,178.76311274036294
mean,2025,21,16,88,179.23541181228308
mean,2025,21,17,88,179.23541181228308
mean,2025,21,18,88,180.3417295552401
mean,2025,21,19,88,180.44286034885323
mean,2025,21,20,88,180.3417295552401
mean,2025,21,21,88,179.23541181228308
mean,2025,21,22,88,179.23541181228308
mean,2025,21,23,88,179.23541181228308
mean,2025,21,24,88,178.76311274036294
mean,2025,21,25,88,178.76311274036294
mean,2025,21,26,88,178.76311274036294
mean,2025,21,27,88,179.23541181228308
mean,2025,21,28,88,179.29535114850117
mean,2025,21,29,88,180.44286034885323
mean,2025,21,30,88,180.44286034885323
mean,2025,21,31,88,180.44286034885323
mean,2025,21,32,88,179.29535114850117
mean,2025,21,33,88,179.23541181228308
mean,2025,21,34,88,179.23541181228308
mean,2025,21,35,88,178.76233811402813
mean,2025,21,36,88,177.35674660445497
mean,2025,21,37,88,177.35674660445497
mean,2025,21,38,88,0.00042743288294686845
mean,2025,21,39,88,0.00042743288294686845
mean,2025,21,40,88,0.00042743288294686845
mean,2025,21,41,88,0.00043089292802594244
mean,2025,21,42,88,0.00047544003290308877
mean,2025,21,43,88,178.76233811402813
mean,2025,21,44,88,178.76233811402813
mean,2025,21,45,88,177.35674660445497
mean,2025,21,46,88,177.35674660445497
mean,2025,21,47,88,177.35674660445497
mean,2025,21,48,88,177.35674660445497
mean,2025,21,49,88,177.35674660445497
mean,2025,21,50,88,177.35674660445497
mean,2025,21,51,88,149.61863328671905
mean,2025,21,52,88,149.61863328671905
mean,2025,21,53,88,178.73583742674847
mean,2025,21,54,88,160.5274665482535
mean,2025,21,55,88,149.61863328671905
mean,2025,21,56,88,0.00036219230007714223
mean,2025,21,57,88,0.00042743288294686845
mean,2025,21,58,88,0.00042743288294686845
mean,2025,21,59,88,0.00042740957467633713
mean,2025,21,60,88,0.00042339073656444566
mean,2025,21,61,88,0.0004260040855635578
mean,2025,21,62,88,0.00042624297720200965
mean,2025,21,63,88,0.00042740957467633713
mean,2025,21,64,88,0.00042740957467633713
mean,2025,21,65,88,0.00042740957467633713
mean,2025,21,66,88,0.00042743288294686845
mean,2025,21,67,88,0.00042743288294686845
mean,2025,21,68,88,0.00042743288294686845
mean,2025,21,69,88,0.00042743288294686845
mean,2025,21,70,88,0.00042743288294686845
mean,2025,21,71,88,0.00042743288294686845
mean,2025,21,72,88,0.00042743288294686845
mean,2025,21,73,88,0.00042743288294686845
mean,2025,21,74,88,0.00042743288294686845
mean,2025,21,75,88,0.00042743288294686845
mean,2025,21,76,88,0.00042743288294686845
mean,2025,21,77,88,0.0004326668545789
mean,2025,21,78,88,178.76233811402813
mean,2025,21,79,88,0.00036662739222745447
mean,2025,21,80,88,0.00042743288294686845
mean,2025,21,81,88,0.00042743288294686845
mean,2025,21,82,88,0.00042740957467633713
mean,2025,21,83,88,0.00042740957467633713
mean,2025,21,84,88,0.0004260040855635578
mean,2025,21,85,88,0.00042353232554764023
mean,2025,21,86,88,0.0004260040855635578
mean,2025,21,87,88,0.00042740957467633713
mean,2025,21,88,88,0.00042740957467633713
mean,2025,21,89,88,0.00042740957467633713
mean,2025,21,90,88,0.00042743288294686845
mean,2025,21,91,88,0.00042743288294686845
mean,2025,21,92,88,0.00042743288294686845
mean,2025,21,93,88,0.00042743288294686845
mean,2025,21,94,88,0.00043089292802594244
mean,2025,21,95,88,0.00042743288294686845
mean,2025,21,96,88,0.00042743288294686845
mean,2025,21,97,88,0.00042743288294686845
mean,2025,21,98,88,0.00042743288294686845
mean,2025,21,99,88,0.00043089292802594244
mean,2025,21,100,88,177.35674660445497
mean,2025,21,101,88,178.76233811402813
mean,2025,21,102,88,178.76311274036294
mean,2025,21,103,88,177.35674660445497
mean,2025,21,104,88,0.00042743288294686845
mean,2025,21,105,88,0.00042743288294686845
mean,2025,21,106,88,0.00042740957467633713
mean,2025,21,107,88,0.00042353232554764023
mean,2025,21,108,88,0.0004222732396394371
mean,2025,21,109,88,0.0004222732396394371
mean,2025,21,110,88,0.0004222732396394371
mean,2025,21,111,88,0.00042353232554764023
mean,2025,21,112,88,0.00042740957467633713
mean,2025,21,113,88,0.00042743288294686845
mean,2025,21,114,88,0.00042743288294686845
mean,2025,21,115,88,0.0004326668545789
mean,2025,21,116,88,0.0004326668545789
mean,2025,21,117,88,0.0004326668545789
mean,2025,21,118,88,177.35674660445497
mean,2025,21,119,88,177.35674660445497
mean,2025,21,120,88,0.0004326668545789
mean,2025,21,121,88,0.0004326668545789
mean,2025,21,122,88,177.35674660445497
mean,2025,21,123,88,177.35674660445497
mean,2025,21,124,88,177.35674660445497
mean,2025,21,125,88,177.35674660445497
mean,2025,21,126,88,178.76233811402813
mean,2025,21,127,88,0.00036662739222745447
mean,2025,21,128,88,0.00042743288294686845
mean,2025,21,129,88,0.00042743288294686845
mean,2025,21,130,88,0.00042740957467633713
mean,2025,21,131,88,0.0004222732396394371
mean,2025,21,132,88,0.0002884445697192674
mean,2025,21,133,88,0.0002884445697192674
mean,2025,21,134,88,0.00041895294473493026
mean,2025,21,135,88,0.0004222732396394371
mean,2025,21,136,88,0.00042353232554764023
mean,2025,21,137,88,0.00042740957467633713
mean,2025,21,138,88,0.00043089292802594244
mean,2025,21,139,88,178.76233811402813
mean,2025,21,140,88,177.35674660445497
mean,2025,21,141,88,177.35674660445497
mean,2025,21,142,88,178.76311274036294
mean,2025,21,143,88,178.76233811402813
mean,2025,21,144,88,178.76233811402813
mean,2025,21,145,88,178.76311274036294
mean,2025,21,146,88,178.76311274036294
mean,2025,21,147,88,178.76311274036294
mean,2025,21,148,88,179.23541181228308
mean,2025,21,149,88,179.23541181228308
mean,2025,21,150,88,179.23541181228308
mean,2025,21,151,88,178.76233811402813
mean,2025,21,152,88,0.00042740957467633713
mean,2025,21,153,88,0.00042353232554764023
mean,2025,21,154,88,0.0004222732396394371
mean,2025,21,155,88,0.00041895294473493026
mean,2025,21,156,88,0.00041895294473493026
mean,2025,21,157,88,0.00041895294473493026
mean,2025,21,158,88,0.00041895294473493026
mean,2025,21,159,88,0.00041895294473493026
mean,2025,21,160,88,0.0004222732396394371
mean,2025,21,161,88,0.00042353232554764023
mean,2025,21,162,88,0.00046966302155266383
mean,2025,21,163,88,0.00047410890889240914
mean,2025,21,164,88,195.88470015061685
mean,2025,21,165,88,195.88470015061685
mean,2025,21,166,88,195.88470015061685
mean,2025,21,167,88,178.76233811402813
mean,2025,42,0,88,180.9465871141737
mean,2025,42,1,88,180.9465871141737
mean,2025,42,2,88,180.9465871141737
mean,2025,42,3,88,182.41133953098378
mean,2025,42,4,88,182.41133953098378
mean,2025,42,5,88,182.41133953098378
mean,2025,42,6,88,183.16230177173233
mean,2025,42,7,88,182.41133953098378
mean,2025,42,8,88,180.44286034885323
mean,2025,42,9,88,179.29535114850117
mean,2025,42,10,88,179.23541181228308
mean,2025,42,11,88,180.44286034885323
mean,2025,42,12,88,178.76311274036294
mean,2025,42,13,88,178.76311274036294
mean,2025,42,14,88,179.23541181228308
mean,2025,42,15,88,179.29535114850117
mean,2025,42,16,88,180.44286034885323
mean,2025,42,17,88,180.93671994631637
mean,2025,42,18,88,180.93671994631637
mean,2025,42,19,88,180.44286034885323
mean,2025,42,20,88,180.44286034885323
mean,2025,42,21,88,180.3417295552401
mean,2025,42,22,88,179.29535114850117
mean,2025,42,23,88,179.23541181228308
mean,2025,42,24,88,178.76311274036294
mean,2025,42,25,88,178.76311274036294
mean,2025,42,26,88,178.76233811402813
mean,2025,42,27,88,178.76233811402813
mean,2025,42,28,88,178.76233811402813
mean,2025,42,29,88,179.23541181228308
mean,2025,42,30,88,179.23541181228308
mean,2025,42,31,88,178.76311274036294
mean,2025,42,32,88,178.76233811402813
mean,2025,42,33,88,177.35674660445497
mean,2025,42,34,88,0.0004326668545789
mean,2025,42,35,88,0.00042740957467633713
mean,2025,42,36,88,0.00042740957467633713
mean,2025,42,37,88,0.00042740957467633713
mean,2025,42,38,88,0.00042740957467633713
mean,2025,42,39,88,0.00042743288294686845
mean,2025,42,40,88,177.35674660445497
mean,2025,42,41,88,179.23541181228308
mean,2025,42,42,88,179.23541181228308
mean,2025,42,43,88,178.76311274036294
mean,2025,42,44,88,178.76233811402813
mean,2025,42,45,88,177.35674660445497
mean,2025,42,46,88,0.0004326668545789
mean,2025,42,47,88,0.00043089292802594244
mean,2025,42,48,88,0.00042743288294686845
mean,2025,42,49,88,0.00042743288294686845
mean,2025,42,50,88,0.00043089292802594244
mean,2025,42,51,88,0.0004326668545789
mean,2025,42,52,88,177.35674660445497
mean,2025,42,53,88,178.76311274036294
mean,2025,42,54,88,179.23541181228308
mean,2025,42,55,88,179.23541181228308
mean,2025,42,56,88,178.76233811402813
mean,2025,42,57,88,177.35674660445497
mean,2025,42,58,88,177.35674660445497
mean,2025,42,59,88,177.35674660445497
mean,2025,42,60,88,176.56897663117547
mean,2025,42,61,88,176.56897663117547
mean,2025,42,62,88,178.76233811402813
mean,2025,42,63,88,179.23541181228308
mean,2025,42,64,88,180.3417295552401
mean,2025,42,65,88,180.93671994631637
mean,2025,42,66,88,180.93671994631637
mean,2025,42,67,88,180.93671994631637
mean,2025,42,68,88,180.93671994631637
mean,2025,42,69,88,180.93671994631637
mean,2025,42,70,88,180.93671994631637
mean,2025,42,71,88,180.93671994631637
mean,2025,42,72,88,180.93671994631637
mean,2025,42,73,88,180.93671994631637
mean,2025,42,74,88,180.9465871141737
mean,2025,42,75,88,180.9465871141737
mean,2025,42,76,88,182.41133953098378
mean,2025,42,77,88,182.41133953098378
mean,2025,42,78,88,182.41133953098378
mean,2025,42,79,88,182.41133953098378
mean,2025,42,80,88,180.44286034885323
mean,2025,42,81,88,180.3417295552401
mean,2025,42,82,88,179.23541181228308
mean,2025,42,83,88,179.23541181228308
mean,2025,42,84,88,178.76311274036294
mean,2025,42,85,88,179.23541181228308
mean,2025,42,86,88,179.29535114850117
mean,2025,42,87,88,180.44286034885323
mean,2025,42,88,88,180.93671994631637
