year,generator,dual_value
2025,ES1 4 offwind-ac,-496474.7192071856
2025,ES1 4 onwind,-401459.0704643647
2025,PT1 1 ror,-353405.08610648307
2025,PT1 0 ror,-347053.7936779151
2025,ES1 3 solar,-303268.00628400804
2025,ES1 0 solar,-295911.4174954264
2025,PT1 1 solar,-291169.37809550815
2025,ES1 5 solar,-290023.901027124
2025,ES1 7 solar,-289684.2657073153
2025,ES1 8 solar,-286251.03133131587
2025,ES1 2 solar,-284732.1085117191
2025,ES1 6 solar,-284525.4467938887
2025,PT1 0 solar,-277174.4270795038
2025,ES1 3 offwind-ac,-265317.8047182765
2025,ES1 4 solar,-250152.9518700189
2025,ES1 1 solar,-236353.13377482485
2025,ES1 8 ror,-213687.48311885292
2025,ES1 2 ror,-208837.7751352269
2025,ES1 1 onwind,-195344.7362303261
2025,PT1 1 offwind-ac,-191181.69903057095
2025,ES1 2 onwind,-174983.5217334795
2025,PT1 1 onwind,-161003.73591769495
2025,PT1 0 offwind-ac,-150339.0336266724
2025,ES1 7 onwind,-146709.668171232
2025,ES1 6 onwind,-140708.30718486584
2025,ES1 5 onwind,-124653.31845231864
2025,PT1 0 onwind,-97607.5068666227
2025,ES1 3 onwind,-78898.05752855758
2025,ES1 0 onwind,-62247.17410335503
2025,ES1 8 offwind-ac,-54642.66468343243
2025,ES1 8 onwind,-48941.74393483334
2025,ES1 2 offwind-ac,-45999.26191537393
2025,ES1 6 offwind-ac,-36771.23318988863
2025,ES1 0 offwind-ac,-32422.18460706012
2025,ES1 1 offwind-ac,-25750.24682532156
2025,PT1 1 CCGT,-20648.26389826814
2025,ES1 7 CCGT,-7564.459215389521
2025,PT1 0 CCGT,-6481.191107221282
2030,ES1 4 offwind-ac,-305132.5876038815
2030,ES1 4 onwind,-255350.7640843496
2030,ES1 3 solar,-208540.318679104
2030,PT1 1 solar,-201070.06341893144
2030,ES1 0 solar,-200407.33570274065
2030,ES1 7 solar,-200081.5611979024
2030,ES1 5 solar,-199031.4863004363
2030,ES1 8 solar,-194790.4887136367
2030,ES1 2 solar,-194226.18245339085
2030,ES1 6 solar,-193548.70840283288
2030,PT1 0 solar,-191843.97683288375
2030,ES1 4 solar,-170971.69860289706
2030,ES1 1 solar,-160807.32449314953
2030,PT1 1 ror,-156135.34026544157
2030,PT1 0 ror,-151912.22985380073
2030,ES1 3 offwind-ac,-145831.4363091265
2030,ES1 1 onwind,-102568.0420546608
2030,ES1 2 onwind,-93249.02827416452
2030,PT1 1 offwind-ac,-83408.4313168584
2030,PT1 1 onwind,-83284.96248074109
2030,ES1 7 onwind,-68507.76321661886
2030,ES1 8 ror,-64458.501834416165
2030,ES1 6 onwind,-64165.287520347294
2030,ES1 2 ror,-61020.116733007366
2030,ES1 5 onwind,-54405.38719725589
2030,PT1 0 offwind-ac,-49697.33957048274
2030,PT1 0 onwind,-35492.14380692655
2030,ES1 3 onwind,-28064.55218136854
2030,ES1 0 onwind,-13064.211206916254
2030,PT1 1 CCGT,-6793.708305702879
2030,ES1 8 onwind,-4005.886014567819
2040,ES1 4 offwind-ac,-151060.7268697777
2040,ES1 4 onwind,-143068.39142612234
2040,ES1 3 solar,-126292.4325786316
2040,PT1 1 solar,-121363.32614425632
2040,ES1 0 solar,-120841.41233203858
2040,ES1 7 solar,-120660.08027661048
2040,ES1 5 solar,-119987.81269254597
2040,ES1 8 solar,-117473.52476250382
2040,ES1 2 solar,-116880.95808708663
2040,ES1 6 solar,-116460.2996124488
2040,PT1 0 solar,-115290.59247743148
2040,ES1 4 solar,-101495.36422519178
2040,ES1 1 solar,-94629.68293081044
2040,ES1 3 offwind-ac,-47214.28743011967
2040,ES1 1 onwind,-38323.89843121782
2040,ES1 2 onwind,-31531.024540860555
2040,PT1 1 onwind,-26785.794961326217
2040,ES1 7 onwind,-15273.79964569999
2040,PT1 1 ror,-13823.72954391563
2040,ES1 6 onwind,-12638.792272704037
2040,PT1 0 ror,-11007.330030188052
2040,ES1 5 onwind,-5919.142042557229
2050,ES1 3 solar,-45028.79571153806
2050,PT1 1 solar,-42585.00980381304
2050,ES1 0 solar,-42369.62252257993
2050,ES1 7 solar,-42143.69860974265
2050,ES1 5 solar,-41872.41652390428
2050,ES1 8 solar,-40808.954877314376
2050,ES1 2 solar,-40399.45617973735
2050,ES1 6 solar,-40190.66710887221
2050,PT1 0 solar,-39528.73820707244
2050,ES1 4 solar,-32650.97451123904
2050,ES1 4 onwind,-30747.187812972887
2050,ES1 1 solar,-29108.1118838439
