scenario,year,week,hour,branch,bound,dual_value
GA,2040,21,157,100,max,0.0
GA,2040,21,158,100,min,0.0
GA,2040,21,158,100,max,0.0
GA,2040,21,159,100,min,0.0
GA,2040,21,159,100,max,0.0
GA,2040,21,160,100,min,0.0
GA,2040,21,160,100,max,0.0
GA,2040,21,161,100,min,0.0
GA,2040,21,161,100,max,0.0
GA,2040,21,162,100,min,0.0
GA,2040,21,162,100,max,0.0
GA,2040,21,163,100,min,0.0
GA,2040,21,163,100,max,0.0
GA,2040,21,164,100,min,0.0
GA,2040,21,164,100,max,0.0
GA,2040,21,165,100,min,0.0
GA,2040,21,165,100,max,0.0
GA,2040,21,166,100,min,0.0
GA,2040,21,166,100,max,0.0
GA,2040,21,167,100,min,0.0
GA,2040,21,167,100,max,0.0
GA,2040,42,0,100,min,0.0
GA,2040,42,0,100,max,0.0
GA,2040,42,1,100,min,0.0
GA,2040,42,1,100,max,0.0
GA,2040,42,2,100,min,0.0
GA,2040,42,2,100,max,0.0
GA,2040,42,3,100,min,0.0
GA,2040,42,3,100,max,0.0
GA,2040,42,4,100,min,0.0
GA,2040,42,4,100,max,0.0
GA,2040,42,5,100,min,0.0
GA,2040,42,5,100,max,0.0
GA,2040,42,6,100,min,0.0
GA,2040,42,6,100,max,0.0
GA,2040,42,7,100,min,0.0
GA,2040,42,7,100,max,0.0
GA,2040,42,8,100,min,0.0
GA,2040,42,8,100,max,0.0
GA,2040,42,9,100,min,0.0
GA,2040,42,9,100,max,0.0
GA,2040,42,10,100,min,0.0
GA,2040,42,10,100,max,0.0
GA,2040,42,11,100,min,0.0
GA,2040,42,11,100,max,0.0
GA,2040,42,12,100,min,0.0
GA,2040,42,12,100,max,0.0
GA,2040,42,13,100,min,0.0
GA,2040,42,13,100,max,0.0
GA,2040,42,14,100,min,0.0
GA,2040,42,14,100,max,0.0
GA,2040,42,15,100,min,0.0
GA,2040,42,15,100,max,0.0
GA,2040,42,16,100,min,0.0
GA,2040,42,16,100,max,0.0
GA,2040,42,17,100,min,0.0
GA,2040,42,17,100,max,0.0
GA,2040,42,18,100,min,0.0
GA,2040,42,18,100,max,0.0
GA,2040,42,19,100,min,0.0
GA,2040,42,19,100,max,0.0
GA,2040,42,20,100,min,0.0
GA,2040,42,20,100,max,0.0
GA,2040,42,21,100,min,0.0
GA,2040,42,21,100,max,0.0
GA,2040,42,22,100,min,0.0
GA,2040,42,22,100,max,0.0
GA,2040,42,23,100,min,0.0
GA,2040,42,23,100,max,0.0
GA,2040,42,24,100,min,0.0
GA,2040,42,24,100,max,0.0
GA,2040,42,25,100,min,0.0
GA,2040,42,25,100,max,0.0
GA,2040,42,26,100,min,0.0
GA,2040,42,26,100,max,0.0
GA,2040,42,27,100,min,0.0
GA,2040,42,27,100,max,0.0
GA,2040,42,28,100,min,0.0
GA,2040,42,28,100,max,0.0
GA,2040,42,29,100,min,0.0
GA,2040,42,29,100,max,0.0
GA,2040,42,30,100,min,0.0
GA,2040,42,30,100,max,0.0
GA,2040,42,31,100,min,0.0
GA,2040,42,31,100,max,0.0
GA,2040,42,32,100,min,0.0
GA,2040,42,32,100,max,0.0
GA,2040,42,33,100,min,0.0
GA,2040,42,33,100,max,0.0
GA,2040,42,34,100,min,0.0
GA,2040,42,34,100,max,0.0
GA,2040,42,35,100,min,0.0
GA,2040,42,35,100,max,0.0
GA,2040,42,36,100,min,0.0
GA,2040,42,36,100,max,0.0
GA,2040,42,37,100,min,0.0
GA,2040,42,37,100,max,0.0
GA,2040,42,38,100,min,0.0
GA,2040,42,38,100,max,0.0
GA,2040,42,39,100,min,0.0
GA,2040,42,39,100,max,0.0
GA,2040,42,40,100,min,0.0
GA,2040,42,40,100,max,0.0
GA,2040,42,41,100,min,0.0
GA,2040,42,41,100,max,0.0
GA,2040,42,42,100,min,0.0
GA,2040,42,42,100,max,0.0
GA,2040,42,43,100,min,0.0
GA,2040,42,43,100,max,0.0
GA,2040,42,44,100,min,0.0
GA,2040,42,44,100,max,0.0
GA,2040,42,45,100,min,0.0
GA,2040,42,45,100,max,0.0
GA,2040,42,46,100,min,0.0
GA,2040,42,46,100,max,0.0
GA,2040,42,47,100,min,0.0
GA,2040,42,47,100,max,0.0
GA,2040,42,48,100,min,0.0
GA,2040,42,48,100,max,0.0
GA,2040,42,49,100,min,0.0
GA,2040,42,49,100,max,0.0
GA,2040,42,50,100,min,0.0
GA,2040,42,50,100,max,0.0
GA,2040,42,51,100,min,0.0
GA,2040,42,51,100,max,0.0
GA,2040,42,52,100,min,0.0
GA,2040,42,52,100,max,0.0
GA,2040,42,53,100,min,0.0
GA,2040,42,53,100,max,0.0
GA,2040,42,54,100,min,0.0
GA,2040,42,54,100,max,0.0
GA,2040,42,55,100,min,0.0
GA,2040,42,55,100,max,0.0
GA,2040,42,56,100,min,0.0
GA,2040,42,56,100,max,0.0
GA,2040,42,57,100,min,0.0
GA,2040,42,57,100,max,0.0
GA,2040,42,58,100,min,0.0
GA,2040,42,58,100,max,0.0
GA,2040,42,59,100,min,0.0
GA,2040,42,59,100,max,0.0
GA,2040,42,60,100,min,0.0
GA,2040,42,60,100,max,0.0
GA,2040,42,61,100,min,0.0
GA,2040,42,61,100,max,0.0
GA,2040,42,62,100,min,0.0
GA,2040,42,62,100,max,0.0
GA,2040,42,63,100,min,0.0
GA,2040,42,63,100,max,0.0
GA,2040,42,64,100,min,0.0
GA,2040,42,64,100,max,0.0
GA,2040,42,65,100,min,0.0
GA,2040,42,65,100,max,0.0
GA,2040,42,66,100,min,0.0
GA,2040,42,66,100,max,0.0
GA,2040,42,67,100,min,0.0
GA,2040,42,67,100,max,0.0
GA,2040,42,68,100,min,0.0
GA,2040,42,68,100,max,0.0
GA,2040,42,69,100,min,0.0
GA,2040,42,69,100,max,0.0
GA,2040,42,70,100,min,0.0
GA,2040,42,70,100,max,0.0
GA,2040,42,71,100,min,0.0
GA,2040,42,71,100,max,0.0
GA,2040,42,72,100,min,0.0
GA,2040,42,72,100,max,0.0
GA,2040,42,73,100,min,0.0
GA,2040,42,73,100,max,0.0
GA,2040,42,74,100,min,0.0
GA,2040,42,74,100,max,0.0
GA,2040,42,75,100,min,0.0
GA,2040,42,75,100,max,0.0
GA,2040,42,76,100,min,0.0
GA,2040,42,76,100,max,0.0
GA,2040,42,77,100,min,0.0
GA,2040,42,77,100,max,0.0
GA,2040,42,78,100,min,0.0
GA,2040,42,78,100,max,0.0
GA,2040,42,79,100,min,0.0
GA,2040,42,79,100,max,0.0
GA,2040,42,80,100,min,0.0
GA,2040,42,80,100,max,0.0
GA,2040,42,81,100,min,0.0
GA,2040,42,81,100,max,0.0
GA,2040,42,82,100,min,0.0
GA,2040,42,82,100,max,0.0
GA,2040,42,83,100,min,0.0
GA,2040,42,83,100,max,0.0
GA,2040,42,84,100,min,0.0
GA,2040,42,84,100,max,0.0
GA,2040,42,85,100,min,0.0
GA,2040,42,85,100,max,0.0
GA,2040,42,86,100,min,0.0
GA,2040,42,86,100,max,0.0
GA,2040,42,87,100,min,0.0
GA,2040,42,87,100,max,0.0
GA,2040,42,88,100,min,0.0
GA,2040,42,88,100,max,0.0
GA,2040,42,89,100,min,0.0
GA,2040,42,89,100,max,0.0
GA,2040,42,90,100,min,0.0
GA,2040,42,90,100,max,0.0
GA,2040,42,91,100,min,0.0
GA,2040,42,91,100,max,0.0
GA,2040,42,92,100,min,0.0
GA,2040,42,92,100,max,0.0
GA,2040,42,93,100,min,0.0
GA,2040,42,93,100,max,0.0
GA,2040,42,94,100,min,0.0
GA,2040,42,94,100,max,0.0
GA,2040,42,95,100,min,0.0
GA,2040,42,95,100,max,0.0
GA,2040,42,96,100,min,0.0
GA,2040,42,96,100,max,0.0
GA,2040,42,97,100,min,0.0
GA,2040,42,97,100,max,0.0
GA,2040,42,98,100,min,0.0
GA,2040,42,98,100,max,0.0
GA,2040,42,99,100,min,0.0
GA,2040,42,99,100,max,0.0
GA,2040,42,100,100,min,0.0
GA,2040,42,100,100,max,0.0
GA,2040,42,101,100,min,0.0
GA,2040,42,101,100,max,0.0
GA,2040,42,102,100,min,0.0
GA,2040,42,102,100,max,0.0
GA,2040,42,103,100,min,0.0
GA,2040,42,103,100,max,0.0
GA,2040,42,104,100,min,0.0
GA,2040,42,104,100,max,0.0
GA,2040,42,105,100,min,0.0
GA,2040,42,105,100,max,0.0
GA,2040,42,106,100,min,0.0
GA,2040,42,106,100,max,0.0
GA,2040,42,107,100,min,0.0
GA,2040,42,107,100,max,0.0
GA,2040,42,108,100,min,0.0
GA,2040,42,108,100,max,0.0
GA,2040,42,109,100,min,0.0
GA,2040,42,109,100,max,0.0
GA,2040,42,110,100,min,0.0
GA,2040,42,110,100,max,0.0
GA,2040,42,111,100,min,0.0
GA,2040,42,111,100,max,0.0
GA,2040,42,112,100,min,0.0
GA,2040,42,112,100,max,0.0
GA,2040,42,113,100,min,0.0
GA,2040,42,113,100,max,0.0
GA,2040,42,114,100,min,0.0
GA,2040,42,114,100,max,0.0
GA,2040,42,115,100,min,0.0
GA,2040,42,115,100,max,0.0
GA,2040,42,116,100,min,0.0
GA,2040,42,116,100,max,0.0
GA,2040,42,117,100,min,0.0
GA,2040,42,117,100,max,0.0
GA,2040,42,118,100,min,0.0
GA,2040,42,118,100,max,0.0
GA,2040,42,119,100,min,0.0
GA,2040,42,119,100,max,0.0
GA,2040,42,120,100,min,0.0
GA,2040,42,120,100,max,0.0
GA,2040,42,121,100,min,0.0
GA,2040,42,121,100,max,0.0
GA,2040,42,122,100,min,0.0
GA,2040,42,122,100,max,0.0
GA,2040,42,123,100,min,0.0
GA,2040,42,123,100,max,0.0
GA,2040,42,124,100,min,0.0
GA,2040,42,124,100,max,0.0
GA,2040,42,125,100,min,0.0
GA,2040,42,125,100,max,0.0
GA,2040,42,126,100,min,0.0
GA,2040,42,126,100,max,0.0
GA,2040,42,127,100,min,0.0
GA,2040,42,127,100,max,0.0
GA,2040,42,128,100,min,0.0
GA,2040,42,128,100,max,0.0
GA,2040,42,129,100,min,0.0
GA,2040,42,129,100,max,0.0
GA,2040,42,130,100,min,0.0
GA,2040,42,130,100,max,0.0
GA,2040,42,131,100,min,0.0
GA,2040,42,131,100,max,0.0
GA,2040,42,132,100,min,0.0
GA,2040,42,132,100,max,0.0
GA,2040,42,133,100,min,0.0
GA,2040,42,133,100,max,0.0
GA,2040,42,134,100,min,0.0
GA,2040,42,134,100,max,0.0
GA,2040,42,135,100,min,0.0
GA,2040,42,135,100,max,0.0
GA,2040,42,136,100,min,0.0
GA,2040,42,136,100,max,0.0
GA,2040,42,137,100,min,0.0
GA,2040,42,137,100,max,0.0
GA,2040,42,138,100,min,0.0
GA,2040,42,138,100,max,0.0
GA,2040,42,139,100,min,0.0
GA,2040,42,139,100,max,0.0
GA,2040,42,140,100,min,0.0
GA,2040,42,140,100,max,0.0
GA,2040,42,141,100,min,0.0
GA,2040,42,141,100,max,0.0
GA,2040,42,142,100,min,0.0
GA,2040,42,142,100,max,0.0
GA,2040,42,143,100,min,0.0
GA,2040,42,143,100,max,0.0
GA,2040,42,144,100,min,0.0
GA,2040,42,144,100,max,0.0
GA,2040,42,145,100,min,0.0
GA,2040,42,145,100,max,0.0
GA,2040,42,146,100,min,0.0
GA,2040,42,146,100,max,0.0
GA,2040,42,147,100,min,0.0
GA,2040,42,147,100,max,0.0
GA,2040,42,148,100,min,0.0
GA,2040,42,148,100,max,0.0
GA,2040,42,149,100,min,0.0
GA,2040,42,149,100,max,0.0
GA,2040,42,150,100,min,0.0
GA,2040,42,150,100,max,0.0
GA,2040,42,151,100,min,0.0
GA,2040,42,151,100,max,0.0
GA,2040,42,152,100,min,0.0
GA,2040,42,152,100,max,0.0
GA,2040,42,153,100,min,0.0
GA,2040,42,153,100,max,0.0
GA,2040,42,154,100,min,0.0
GA,2040,42,154,100,max,0.0
GA,2040,42,155,100,min,0.0
GA,2040,42,155,100,max,0.0
GA,2040,42,156,100,min,0.0
GA,2040,42,156,100,max,0.0
GA,2040,42,157,100,min,0.0
GA,2040,42,157,100,max,0.0
GA,2040,42,158,100,min,0.0
GA,2040,42,158,100,max,0.0
GA,2040,42,159,100,min,0.0
GA,2040,42,159,100,max,0.0
GA,2040,42,160,100,min,0.0
GA,2040,42,160,100,max,0.0
GA,2040,42,161,100,min,0.0
GA,2040,42,161,100,max,0.0
GA,2040,42,162,100,min,0.0
GA,2040,42,162,100,max,0.0
GA,2040,42,163,100,min,0.0
GA,2040,42,163,100,max,0.0
GA,2040,42,164,100,min,0.0
GA,2040,42,164,100,max,0.0
GA,2040,42,165,100,min,0.0
GA,2040,42,165,100,max,0.0
GA,2040,42,166,100,min,0.0
GA,2040,42,166,100,max,0.0
GA,2040,42,167,100,min,0.0
GA,2040,42,167,100,max,0.0
DE,2040,21,0,100,min,0.0
DE,2040,21,0,100,max,0.0
DE,2040,21,1,100,min,0.0
DE,2040,21,1,100,max,0.0
DE,2040,21,2,100,min,0.0
DE,2040,21,2,100,max,0.0
DE,2040,21,3,100,min,0.0
DE,2040,21,3,100,max,0.0
DE,2040,21,4,100,min,0.0
DE,2040,21,4,100,max,0.0
DE,2040,21,5,100,min,0.0
DE,2040,21,5,100,max,0.0
DE,2040,21,6,100,min,0.0
DE,2040,21,6,100,max,0.0
DE,2040,21,7,100,min,0.0
DE,2040,21,7,100,max,0.0
DE,2040,21,8,100,min,0.0
DE,2040,21,8,100,max,0.0
DE,2040,21,9,100,min,0.0
DE,2040,21,9,100,max,0.0
DE,2040,21,10,100,min,0.0
DE,2040,21,10,100,max,0.0
DE,2040,21,11,100,min,0.0
DE,2040,21,11,100,max,0.0
DE,2040,21,12,100,min,0.0
DE,2040,21,12,100,max,0.0
DE,2040,21,13,100,min,0.0
DE,2040,21,13,100,max,0.0
DE,2040,21,14,100,min,0.0
DE,2040,21,14,100,max,0.0
DE,2040,21,15,100,min,0.0
DE,2040,21,15,100,max,0.0
DE,2040,21,16,100,min,0.0
DE,2040,21,16,100,max,0.0
DE,2040,21,17,100,min,0.0
DE,2040,21,17,100,max,0.0
DE,2040,21,18,100,min,0.0
DE,2040,21,18,100,max,0.0
DE,2040,21,19,100,min,0.0
DE,2040,21,19,100,max,0.0
DE,2040,21,20,100,min,0.0
DE,2040,21,20,100,max,0.0
DE,2040,21,21,100,min,0.0
DE,2040,21,21,100,max,0.0
DE,2040,21,22,100,min,0.0
DE,2040,21,22,100,max,0.0
DE,2040,21,23,100,min,0.0
DE,2040,21,23,100,max,0.0
DE,2040,21,24,100,min,0.0
DE,2040,21,24,100,max,0.0
DE,2040,21,25,100,min,0.0
DE,2040,21,25,100,max,0.0
DE,2040,21,26,100,min,0.0
DE,2040,21,26,100,max,0.0
DE,2040,21,27,100,min,0.0
DE,2040,21,27,100,max,0.0
DE,2040,21,28,100,min,0.0
DE,2040,21,28,100,max,0.0
DE,2040,21,29,100,min,0.0
DE,2040,21,29,100,max,0.0
DE,2040,21,30,100,min,0.0
DE,2040,21,30,100,max,0.0
DE,2040,21,31,100,min,0.0
DE,2040,21,31,100,max,0.0
DE,2040,21,32,100,min,0.0
DE,2040,21,32,100,max,0.0
DE,2040,21,33,100,min,0.0
DE,2040,21,33,100,max,0.0
DE,2040,21,34,100,min,0.0
DE,2040,21,34,100,max,0.0
DE,2040,21,35,100,min,0.0
DE,2040,21,35,100,max,0.0
DE,2040,21,36,100,min,0.0
DE,2040,21,36,100,max,0.0
DE,2040,21,37,100,min,0.0
DE,2040,21,37,100,max,0.0
DE,2040,21,38,100,min,0.0
DE,2040,21,38,100,max,0.0
DE,2040,21,39,100,min,0.0
DE,2040,21,39,100,max,0.0
DE,2040,21,40,100,min,0.0
DE,2040,21,40,100,max,0.0
DE,2040,21,41,100,min,0.0
DE,2040,21,41,100,max,0.0
DE,2040,21,42,100,min,0.0
DE,2040,21,42,100,max,0.0
DE,2040,21,43,100,min,0.0
DE,2040,21,43,100,max,0.0
DE,2040,21,44,100,min,0.0
DE,2040,21,44,100,max,0.0
DE,2040,21,45,100,min,0.0
DE,2040,21,45,100,max,0.0
DE,2040,21,46,100,min,0.0
DE,2040,21,46,100,max,0.0
DE,2040,21,47,100,min,0.0
DE,2040,21,47,100,max,0.0
DE,2040,21,48,100,min,0.0
DE,2040,21,48,100,max,0.0
DE,2040,21,49,100,min,0.0
DE,2040,21,49,100,max,0.0
DE,2040,21,50,100,min,0.0
DE,2040,21,50,100,max,0.0
DE,2040,21,51,100,min,0.0
DE,2040,21,51,100,max,0.0
DE,2040,21,52,100,min,0.0
DE,2040,21,52,100,max,0.0
DE,2040,21,53,100,min,0.0
DE,2040,21,53,100,max,0.0
DE,2040,21,54,100,min,0.0
DE,2040,21,54,100,max,0.0
DE,2040,21,55,100,min,0.0
DE,2040,21,55,100,max,0.0
DE,2040,21,56,100,min,0.0
DE,2040,21,56,100,max,0.0
DE,2040,21,57,100,min,0.0
DE,2040,21,57,100,max,0.0
DE,2040,21,58,100,min,0.0
DE,2040,21,58,100,max,0.0
DE,2040,21,59,100,min,0.0
DE,2040,21,59,100,max,0.0
DE,2040,21,60,100,min,0.0
DE,2040,21,60,100,max,0.0
DE,2040,21,61,100,min,0.0
DE,2040,21,61,100,max,0.0
DE,2040,21,62,100,min,0.0
DE,2040,21,62,100,max,0.0
DE,2040,21,63,100,min,0.0
DE,2040,21,63,100,max,0.0
DE,2040,21,64,100,min,0.0
DE,2040,21,64,100,max,0.0
DE,2040,21,65,100,min,0.0
DE,2040,21,65,100,max,0.0
DE,2040,21,66,100,min,0.0
DE,2040,21,66,100,max,0.0
DE,2040,21,67,100,min,0.0
DE,2040,21,67,100,max,0.0
DE,2040,21,68,100,min,0.0
DE,2040,21,68,100,max,0.0
DE,2040,21,69,100,min,0.0
DE,2040,21,69,100,max,0.0
DE,2040,21,70,100,min,0.0
DE,2040,21,70,100,max,0.0
DE,2040,21,71,100,min,0.0
DE,2040,21,71,100,max,0.0
DE,2040,21,72,100,min,0.0
DE,2040,21,72,100,max,0.0
DE,2040,21,73,100,min,0.0
DE,2040,21,73,100,max,0.0
DE,2040,21,74,100,min,0.0
DE,2040,21,74,100,max,0.0
DE,2040,21,75,100,min,0.0
DE,2040,21,75,100,max,0.0
DE,2040,21,76,100,min,0.0
DE,2040,21,76,100,max,0.0
DE,2040,21,77,100,min,0.0
DE,2040,21,77,100,max,0.0
DE,2040,21,78,100,min,0.0
DE,2040,21,78,100,max,0.0
DE,2040,21,79,100,min,0.0
DE,2040,21,79,100,max,0.0
DE,2040,21,80,100,min,0.0
DE,2040,21,80,100,max,0.0
DE,2040,21,81,100,min,0.0
DE,2040,21,81,100,max,0.0
DE,2040,21,82,100,min,0.0
DE,2040,21,82,100,max,0.0
DE,2040,21,83,100,min,0.0
DE,2040,21,83,100,max,0.0
DE,2040,21,84,100,min,0.0
DE,2040,21,84,100,max,0.0
DE,2040,21,85,100,min,0.0
DE,2040,21,85,100,max,0.0
DE,2040,21,86,100,min,0.0
DE,2040,21,86,100,max,0.0
DE,2040,21,87,100,min,0.0
DE,2040,21,87,100,max,0.0
DE,2040,21,88,100,min,0.0
DE,2040,21,88,100,max,0.0
DE,2040,21,89,100,min,0.0
DE,2040,21,89,100,max,0.0
DE,2040,21,90,100,min,0.0
DE,2040,21,90,100,max,0.0
DE,2040,21,91,100,min,0.0
DE,2040,21,91,100,max,0.0
DE,2040,21,92,100,min,0.0
DE,2040,21,92,100,max,0.0
DE,2040,21,93,100,min,0.0
DE,2040,21,93,100,max,0.0
DE,2040,21,94,100,min,0.0
DE,2040,21,94,100,max,0.0
DE,2040,21,95,100,min,0.0
DE,2040,21,95,100,max,0.0
DE,2040,21,96,100,min,0.0
DE,2040,21,96,100,max,0.0
DE,2040,21,97,100,min,0.0
DE,2040,21,97,100,max,0.0
DE,2040,21,98,100,min,0.0
DE,2040,21,98,100,max,0.0
DE,2040,21,99,100,min,0.0
