bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
gap_curtailment_neg_thermal,-90.0,-62.1724371519848,0,0.0
neg_thermal,-62.1724371519848,-49.85727272727273,0,0.0
gap_neg_thermal_neg_wind,-49.85727272727273,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,0,0.0
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,0,0.0
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,16398,15.845315398886829
gap_wind_thermal,0.016499999999999997,49.85727272727273,1171,1.1315321583178726
thermal,49.85727272727273,62.1724371519848,85034,82.16798082869512
other,,,885,0.8551716141001855
