line,bus0,bus1,p_max,capital_cost,length,loss_factor
1,AL1 0,GR1 0,1698.1026117405274,24374.64896799917,474.02928142083897,0.02852154262614944
2,AL1 0,ME1 0,2189.658630928575,9582.652916880637,186.35993823984532,0.011212963271767747
3,AL1 0,MK1 0,0.0,9031.96871162282,175.65043270190375,0.010568590380308735
4,AL1 0,RS1 0,2189.658630928575,18493.623784435324,359.6572490095156,0.021639970272894594
5,AT1 0,AT1 1,6345.541338609339,18701.798752476006,363.70575984713577,0.02188356234400359
6,AT1 0,CH1 0,6792.41044696211,15180.176862291333,295.21854199092036,0.017762801918450356
7,AT1 0,DE1 12,10188.615670443165,8039.849705859733,156.3560641961965,0.00940768075858516
8,AT1 0,DE1 18,2457.780095940237,12083.274682106377,234.99111811987174,0.01413901937056118
9,AT1 0,DE1 2,3396.205223481055,7475.783663576688,145.38631357339287,0.00874764935915615
10,AT1 0,IT1 5,491.5560191880474,13147.152709333193,255.68102989779482,0.015383896478018622
11,AT1 1,CZ1 0,4379.31726185715,16464.651940654032,320.1985447470062,0.019265806566757113
12,AT1 1,HU1 0,4379.31726185715,18630.823743716624,362.32546376799155,0.021800512256169316
13,AT1 1,SI1 0,3887.761242669102,11163.440013242223,217.10250902933254,0.013062691922667981
14,BA1 0,HR1 0,5362.429300233244,14134.147283091927,274.87574031923987,0.016538809840840628
15,BA1 0,ME1 0,2681.214650116622,8932.979519355758,173.72532700128872,0.010452760016126677
16,BA1 0,RS1 0,2189.658630928575,13243.66349463878,257.5579364439293,0.015496826780341756
17,BE1 0,BE1 1,6792.41044696211,6495.311283000654,126.3184443857125,0.007600367819509139
18,BE1 0,BE1 2,3396.205223481055,4914.814434219068,95.58151822528067,0.0057509787964220415
19,BE1 0,NL1 0,3396.205223481055,6035.122441497063,117.36885966996007,0.007061886396607218
20,BE1 1,FR1 6,1698.1026117405274,9827.212574119518,191.1160452401009,0.011499130210940196
21,BE1 1,FR1 8,983.1120383760948,15645.384600127272,304.26573237168446,0.018307156109648025
22,BE1 1,LU1 0,983.1120383760948,6029.901582829171,117.26732631512121,0.007055777305836849
23,BE1 1,NL1 3,3396.205223481055,8422.819718054401,163.80392528846107,0.009855806003042526
24,BE1 2,FR1 3,6792.41044696211,6186.757143411613,120.31779603746985,0.007239318925786912
25,BG1 0,GR1 0,1698.1026117405274,29229.164701797617,568.4381325169018,0.034201964018581534
26,BG1 0,MK1 0,1698.1026117405274,18405.55470907674,357.9445137589513,0.021536917880624947
27,BG1 0,RO1 0,3396.205223481055,22800.459995073677,443.41502852898554,0.02667953464679947
28,BG1 0,RO1 1,3396.205223481055,21684.445785541742,421.7111912965228,0.025373651354271113
29,BG1 0,RS1 0,1698.1026117405274,22934.35181036764,446.01890770998443,0.02683620566685038
30,CH1 0,DE1 10,27169.64178784844,7580.807259395414,147.4287741529706,0.008870540768539232
31,CH1 0,FR1 1,1966.2240767521896,12050.302000353382,234.34987743335313,0.014100436999617041
32,CH1 0,FR1 18,4379.31726185715,16717.753588811785,325.120773270591,0.019561968757899128
33,CH1 0,FR1 8,3396.205223481055,13339.645885921007,259.4245669758521,0.015609138792215645
34,CH1 0,IT1 2,3396.205223481055,11989.318791003041,233.16389822417426,0.014029078630220676
35,CH1 0,IT1 6,1474.6680575641421,12340.791447619235,239.9992102351732,0.014440347829246504
36,CH1 0,IT1 7,3396.205223481055,13735.265216899914,267.1184274054458,0.01607206540203299
37,CZ1 0,CZ1 1,9473.625097078733,13341.687194260598,259.4642655957849,0.015611527391243156
38,CZ1 0,PL1 4,4379.31726185715,11374.566895418247,221.20842761621833,0.01330973812125797
