bucket,lower,upper,absolute,relative_percent
curtailment,-110.00000000000001,-90.0,0,0.0
neg_thermal,-90.85666666666667,-65.26835766980575,0,0.0
gap_neg_thermal_neg_wind,-65.26835766980575,-0.016499999999999997,0,0.0
neg_wind,-0.016499999999999997,-0.013499999999999996,0,0.0
gap_neg_wind_neg_solar,-0.013499999999999996,-0.011000000000000001,0,0.0
neg_solar,-0.011000000000000001,-0.009000000000000001,0,0.0
gap_neg_solar_non-binding,-0.009000000000000001,-0.0001,0,0.0
non-binding,-0.0001,0.0001,0,0.0
gap_non-binding_solar,0.0001,0.009000000000000001,0,0.0
solar,0.009000000000000001,0.011000000000000001,0,0.0
gap_solar_wind,0.011000000000000001,0.013499999999999996,0,0.0
wind,0.013499999999999996,0.016499999999999997,18661,18.032042362399505
gap_wind_thermal,0.016499999999999997,65.26835766980575,1802,1.7412646876932594
thermal,65.26835766980575,90.85666666666667,82333,79.55801638837353
other,,,692,0.6686765615337045
