,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,19316,18.66496598639456,1166,2981,9262,5907
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,0,0.0,0,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,30,0.028988868274582563,30,0,0,0
23,23.0,24.0,36,0.03478664192949907,36,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,0,0.0,0,0,0,0
32,32.0,33.0,0,0.0,0,0,0,0
33,33.0,34.0,0,0.0,0,0,0,0
34,34.0,35.0,0,0.0,0,0,0,0
35,35.0,36.0,0,0.0,0,0,0,0
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,0,0.0,0,0,0,0
38,38.0,39.0,0,0.0,0,0,0,0
39,39.0,40.0,0,0.0,0,0,0,0
40,40.0,41.0,0,0.0,0,0,0,0
41,41.0,42.0,0,0.0,0,0,0,0
42,42.0,43.0,0,0.0,0,0,0,0
43,43.0,44.0,0,0.0,0,0,0,0
44,44.0,45.0,0,0.0,0,0,0,0
45,45.0,46.0,0,0.0,0,0,0,0
46,46.0,47.0,0,0.0,0,0,0,0
47,47.0,48.0,0,0.0,0,0,0,0
48,48.0,49.0,0,0.0,0,0,0,0
49,49.0,50.0,0,0.0,0,0,0,0
50,50.0,51.0,0,0.0,0,0,0,0
51,51.0,52.0,0,0.0,0,0,0,0
52,52.0,53.0,0,0.0,0,0,0,0
53,53.0,54.0,0,0.0,0,0,0,0
54,54.0,55.0,0,0.0,0,0,0,0
55,55.0,56.0,9,0.008696660482374767,0,0,0,9
56,56.0,57.0,13,0.012561842918985775,0,0,1,12
57,57.0,58.0,6,0.0057977736549165125,0,0,5,1
58,58.0,59.0,8,0.007730364873222016,0,4,4,0
59,59.0,60.0,6,0.0057977736549165125,0,5,1,0
60,60.0,61.0,11,0.010629251700680272,0,1,6,4
61,61.0,62.0,13,0.012561842918985775,0,3,5,5
62,62.0,63.0,76,0.07343846629560916,0,6,32,38
63,63.0,64.0,281,0.2715290661719233,21,19,135,106
64,64.0,65.0,536,0.5179344465058751,119,40,228,149
65,65.0,66.0,532,0.5140692640692641,157,55,199,121
66,66.0,67.0,582,0.5623840445269017,78,111,231,162
67,67.0,68.0,1015,0.9807900432900432,57,159,456,343
68,68.0,69.0,3108,3.0032467532467533,243,509,1422,934
69,69.0,70.0,8746,8.451221397649968,1360,1377,3539,2470
70,70.0,inf,69164,66.83286951144095,11517,9514,28826,19307
