scenario,year,week,hour,branch,value
mean,2025,5,0,88,-5892.087677928908
mean,2025,5,1,88,-5892.087677928908
mean,2025,5,2,88,-5892.087677928908
mean,2025,5,3,88,-5892.087677928908
mean,2025,5,4,88,-5892.087677928908
mean,2025,5,5,88,-5892.087677928908
mean,2025,5,6,88,-5892.087677928908
mean,2025,5,7,88,-5892.087677928908
mean,2025,5,8,88,-5892.087677928908
mean,2025,5,9,88,-5892.087677928908
mean,2025,5,10,88,-5892.087677928908
mean,2025,5,11,88,-5892.087677928908
mean,2025,5,12,88,-5892.087677928908
mean,2025,5,13,88,-5892.087677928908
mean,2025,5,14,88,-5892.087677928908
mean,2025,5,15,88,-5892.087677928908
mean,2025,5,16,88,-5892.087677928908
mean,2025,5,17,88,-5892.087677928908
mean,2025,5,18,88,-5892.087677928908
mean,2025,5,19,88,-5892.087677928908
mean,2025,5,20,88,-5892.087677928908
mean,2025,5,21,88,-5892.087677928908
mean,2025,5,22,88,-5892.087677928908
mean,2025,5,23,88,-5892.087677928908
mean,2025,5,24,88,-5892.087677928908
mean,2025,5,25,88,-5892.087677928908
mean,2025,5,26,88,-5892.087677928908
mean,2025,5,27,88,-5892.087677928908
mean,2025,5,28,88,-5892.087677928908
mean,2025,5,29,88,-5892.087677928908
mean,2025,5,30,88,-5892.087677928908
mean,2025,5,31,88,-5892.087677928908
mean,2025,5,32,88,-5892.087677928908
mean,2025,5,33,88,-5892.087677928908
mean,2025,5,34,88,-5892.087677928908
mean,2025,5,35,88,-5892.087677928908
mean,2025,5,36,88,-5892.087677928908
mean,2025,5,37,88,-5892.087677928908
mean,2025,5,38,88,-5892.087677928908
mean,2025,5,39,88,-5892.087677928908
mean,2025,5,40,88,-5892.087677928908
mean,2025,5,41,88,-5892.087677928908
mean,2025,5,42,88,-5892.087677928908
mean,2025,5,43,88,-5892.087677928908
mean,2025,5,44,88,-5892.087677928908
mean,2025,5,45,88,-5892.087677928908
mean,2025,5,46,88,-5892.087677928908
mean,2025,5,47,88,-5892.087677928908
mean,2025,5,48,88,-5892.087677928908
mean,2025,5,49,88,-5892.087677928908
mean,2025,5,50,88,-5892.087677928908
mean,2025,5,51,88,-5892.087677928908
mean,2025,5,52,88,-5892.087677928908
mean,2025,5,53,88,-5892.087677928908
mean,2025,5,54,88,-5892.087677928908
mean,2025,5,55,88,-5892.087677928908
mean,2025,5,56,88,-5892.087677928908
mean,2025,5,57,88,-5892.087677928908
mean,2025,5,58,88,-5892.087677928908
mean,2025,5,59,88,-5892.087677928908
mean,2025,5,60,88,-5892.087677928908
mean,2025,5,61,88,-5892.087677928908
mean,2025,5,62,88,-5892.087677928908
mean,2025,5,63,88,-5892.087677928908
mean,2025,5,64,88,-5892.087677928908
mean,2025,5,65,88,-5892.087677928908
mean,2025,5,66,88,-5330.759977989625
mean,2025,5,67,88,-5892.087677928908
mean,2025,5,68,88,-5892.087677928908
mean,2025,5,69,88,-5892.087677928908
mean,2025,5,70,88,-5892.087677928908
mean,2025,5,71,88,-5892.087677928908
mean,2025,5,72,88,-5892.087677928908
mean,2025,5,73,88,-5892.087677928908
mean,2025,5,74,88,-5892.087677928908
mean,2025,5,75,88,-5892.087677928908
mean,2025,5,76,88,-5892.087677928908
mean,2025,5,77,88,-5892.087677928908
mean,2025,5,78,88,-5892.087677928908
mean,2025,5,79,88,-5892.087677928908
mean,2025,5,80,88,-5892.087677928908
mean,2025,5,81,88,-5892.087677928908
mean,2025,5,82,88,-5892.087677928908
mean,2025,5,83,88,-5892.087677928908
mean,2025,5,84,88,-5892.087677928908
mean,2025,5,85,88,-5892.087677928908
mean,2025,5,86,88,-5892.087677928908
mean,2025,5,87,88,-5892.087677928908
mean,2025,5,88,88,-5892.087677928908
mean,2025,5,89,88,-5892.087677928908
mean,2025,5,90,88,-5466.788878157254
mean,2025,5,91,88,-5471.409209927905
mean,2025,5,92,88,-5434.527546057588
mean,2025,5,93,88,-5892.087677928908
mean,2025,5,94,88,-5892.087677928908
mean,2025,5,95,88,-5892.087677928908
mean,2025,5,96,88,-5892.087677928908
mean,2025,5,97,88,-5892.087677928908
mean,2025,5,98,88,-5892.087677928908
mean,2025,5,99,88,-5892.087677928908
mean,2025,5,100,88,-5892.087677928908
mean,2025,5,101,88,-5892.087677928908
mean,2025,5,102,88,-5892.087677928908
mean,2025,5,103,88,-5892.087677928908
mean,2025,5,104,88,-5892.087677928908
mean,2025,5,105,88,-5892.087677928908
mean,2025,5,106,88,-5892.087677928908
mean,2025,5,107,88,-5892.087677928908
mean,2025,5,108,88,-5892.087677928908
mean,2025,5,109,88,-5892.087677928908
mean,2025,5,110,88,-5892.087677928908
mean,2025,5,111,88,-5892.087677928908
mean,2025,5,112,88,-5892.087677928908
mean,2025,5,113,88,-5892.087677928908
mean,2025,5,114,88,-5892.087677928908
mean,2025,5,115,88,-5892.087677928908
mean,2025,5,116,88,-5892.087677928908
mean,2025,5,117,88,-5892.087677928908
mean,2025,5,118,88,-5892.087677928908
mean,2025,5,119,88,-5892.087677928908
mean,2025,5,120,88,-5892.087677928908
mean,2025,5,121,88,-5892.087677928908
mean,2025,5,122,88,-5892.087677928908
mean,2025,5,123,88,-5892.087677928908
mean,2025,5,124,88,-5892.087677928908
mean,2025,5,125,88,-5892.087677928908
mean,2025,5,126,88,-5892.087677928908
mean,2025,5,127,88,-5892.087677928908
mean,2025,5,128,88,-5892.087677928908
mean,2025,5,129,88,-5892.087677928908
mean,2025,5,130,88,-5892.087677928908
mean,2025,5,131,88,-5892.087677928908
mean,2025,5,132,88,-5892.087677928908
mean,2025,5,133,88,-5892.087677928908
mean,2025,5,134,88,-5892.087677928908
mean,2025,5,135,88,-5892.087677928908
mean,2025,5,136,88,-5892.087677928908
mean,2025,5,137,88,-5892.087677928908
mean,2025,5,138,88,-5892.087677928908
mean,2025,5,139,88,-5892.087677928908
mean,2025,5,140,88,-5892.087677928908
mean,2025,5,141,88,-5892.087677928908
mean,2025,5,142,88,-5892.087677928908
mean,2025,5,143,88,-5892.087677928908
mean,2025,5,144,88,-5892.087677928908
mean,2025,5,145,88,-5892.087677928908
mean,2025,5,146,88,-5892.087677928908
mean,2025,5,147,88,-5892.087677928908
mean,2025,5,148,88,-5892.087677928908
mean,2025,5,149,88,-5892.087677928908
mean,2025,5,150,88,-5892.087677928908
mean,2025,5,151,88,-5892.087677928908
mean,2025,5,152,88,-5892.087677928908
mean,2025,5,153,88,-5892.087677928908
mean,2025,5,154,88,-5892.087677928908
mean,2025,5,155,88,-5892.087677928908
mean,2025,5,156,88,-5892.087677928908
mean,2025,5,157,88,-5892.087677928908
mean,2025,5,158,88,-5892.087677928908
mean,2025,5,159,88,-5892.087677928908
mean,2025,5,160,88,-5892.087677928908
mean,2025,5,161,88,-5892.087677928908
mean,2025,5,162,88,-5892.087677928908
mean,2025,5,163,88,-5892.087677928908
mean,2025,5,164,88,-5892.087677928908
mean,2025,5,165,88,-5892.087677928908
mean,2025,5,166,88,-5892.087677928908
mean,2025,5,167,88,-5892.087677928908
mean,2025,8,0,88,-5892.087677928908
mean,2025,8,1,88,-5892.087677928908
mean,2025,8,2,88,-5892.087677928908
mean,2025,8,3,88,-5892.087677928908
mean,2025,8,4,88,-5892.087677928908
mean,2025,8,5,88,-5892.087677928908
mean,2025,8,6,88,-5267.401474590676
mean,2025,8,7,88,-5274.989670905198
mean,2025,8,8,88,-4581.276248059341
mean,2025,8,9,88,-5892.087677928908
mean,2025,8,10,88,-5892.087677928908
mean,2025,8,11,88,-5892.087677928908
mean,2025,8,12,88,-5892.087677928908
mean,2025,8,13,88,-5892.087677928908
mean,2025,8,14,88,-5892.087677928908
mean,2025,8,15,88,-5892.087677928908
mean,2025,8,16,88,-5892.087677928908
mean,2025,8,17,88,-5223.2770409898085
mean,2025,8,18,88,-5510.126117274703
mean,2025,8,19,88,-5546.177116466865
mean,2025,8,20,88,-5466.644250228831
mean,2025,8,21,88,-5274.230915006084
mean,2025,8,22,88,-5722.814001031402
mean,2025,8,23,88,-5892.087677928908
mean,2025,8,24,88,-5892.087677928908
mean,2025,8,25,88,-5892.087677928908
mean,2025,8,26,88,-5892.087677928908
mean,2025,8,27,88,-5892.087677928908
mean,2025,8,28,88,-5892.087677928908
mean,2025,8,29,88,-5892.087677928908
mean,2025,8,30,88,-5892.087677928908
mean,2025,8,31,88,-5892.087677928908
mean,2025,8,32,88,-5812.482945256048
mean,2025,8,33,88,-5892.087677928908
mean,2025,8,34,88,-5892.087677928908
mean,2025,8,35,88,-5892.087677928908
mean,2025,8,36,88,-5892.087677928908
mean,2025,8,37,88,-5892.087677928908
mean,2025,8,38,88,-5892.087677928908
mean,2025,8,39,88,-5892.087677928908
mean,2025,8,40,88,-5892.087677928908
mean,2025,8,41,88,-5027.340933942977
mean,2025,8,42,88,-5221.518404026256
mean,2025,8,43,88,-5270.300913731365
mean,2025,8,44,88,-5224.849585893332
mean,2025,8,45,88,-5069.685801355596
mean,2025,8,46,88,-4902.818647490284
mean,2025,8,47,88,-5104.42128708577
