Case,Year,Scenario,utilization_rate (%),congestion_rate (%)
rf004,2025,NT,67.37,50.45
rf004,2030,NT,74.17,54.34
rf004,2040,DE,74.04,54.68
rf004,2040,GA,74.38,54.34
rf004,2040,NT,74.13,54.65
rf004,2050,DE,73.97,54.77
rf004,2050,GA,74.39,54.72
rf008,2025,NT,64.93,50.05
rf008,2030,NT,70.11,52.53
rf008,2040,DE,70.06,52.57
rf008,2040,GA,70.16,52.22
rf008,2040,NT,70.07,52.63
rf008,2050,DE,70.09,52.84
rf008,2050,GA,70.13,52.51
rf012,2025,NT,62.96,52.02
rf012,2030,NT,64.89,51.47
rf012,2040,DE,65.49,51.93
rf012,2040,GA,65.08,51.68
rf012,2040,NT,65.4,51.88
rf012,2050,DE,65.81,52.12
rf012,2050,GA,65.28,52.19
