scenario,year,week,hour,branch,dual_value
NT,2025,21,0,35,0.0
NT,2025,21,1,35,0.0
NT,2025,21,2,35,0.0
NT,2025,21,3,35,0.0
NT,2025,21,4,35,0.0
NT,2025,21,5,35,0.0
NT,2025,21,6,35,0.0
NT,2025,21,7,35,0.0
NT,2025,21,8,35,0.0
NT,2025,21,9,35,0.0
NT,2025,21,10,35,0.0
NT,2025,21,11,35,0.0
NT,2025,21,12,35,0.0
NT,2025,21,13,35,0.0
NT,2025,21,14,35,0.0
NT,2025,21,15,35,0.0
NT,2025,21,16,35,0.0
NT,2025,21,17,35,0.0
NT,2025,21,18,35,0.0
NT,2025,21,19,35,0.0
NT,2025,21,20,35,0.0
NT,2025,21,21,35,0.0
NT,2025,21,22,35,0.0
NT,2025,21,23,35,0.0
NT,2025,21,24,35,0.0
NT,2025,21,25,35,0.0
NT,2025,21,26,35,0.0
NT,2025,21,27,35,0.0
NT,2025,21,28,35,0.0
NT,2025,21,29,35,0.0
NT,2025,21,30,35,0.0
NT,2025,21,31,35,0.0
NT,2025,21,32,35,0.0
NT,2025,21,33,35,0.0
NT,2025,21,34,35,0.0
NT,2025,21,35,35,0.0
NT,2025,21,36,35,0.0
NT,2025,21,37,35,0.0
NT,2025,21,38,35,0.0
NT,2025,21,39,35,0.0
NT,2025,21,40,35,0.0
NT,2025,21,41,35,0.0
NT,2025,21,42,35,0.0
NT,2025,21,43,35,0.0
NT,2025,21,44,35,0.0
NT,2025,21,45,35,0.0
NT,2025,21,46,35,0.0
NT,2025,21,47,35,0.0
NT,2025,21,48,35,0.0
NT,2025,21,49,35,0.0
NT,2025,21,50,35,0.0
NT,2025,21,51,35,0.0
NT,2025,21,52,35,0.0
NT,2025,21,53,35,0.0
NT,2025,21,54,35,0.0
NT,2025,21,55,35,0.0
NT,2025,21,56,35,0.0
NT,2025,21,57,35,0.0
NT,2025,21,58,35,0.0
NT,2025,21,59,35,0.0
NT,2025,21,60,35,0.0
NT,2025,21,61,35,0.0
NT,2025,21,62,35,0.0
NT,2025,21,63,35,0.0
NT,2025,21,64,35,0.0
NT,2025,21,65,35,0.0
NT,2025,21,66,35,0.0
NT,2025,21,67,35,0.0
NT,2025,21,68,35,0.0
NT,2025,21,69,35,0.0
NT,2025,21,70,35,0.0
NT,2025,21,71,35,0.0
NT,2025,21,72,35,0.0
NT,2025,21,73,35,0.0
NT,2025,21,74,35,0.0
NT,2025,21,75,35,0.0
NT,2025,21,76,35,0.0
NT,2025,21,77,35,0.0
NT,2025,21,78,35,0.0
NT,2025,21,79,35,0.0
NT,2025,21,80,35,0.0
NT,2025,21,81,35,0.0
NT,2025,21,82,35,0.0
NT,2025,21,83,35,0.0
NT,2025,21,84,35,0.0
NT,2025,21,85,35,0.0
NT,2025,21,86,35,0.0
NT,2025,21,87,35,0.0
NT,2025,21,88,35,0.0
NT,2025,21,89,35,0.0
NT,2025,21,90,35,0.0
NT,2025,21,91,35,0.0
NT,2025,21,92,35,0.0
NT,2025,21,93,35,0.0
NT,2025,21,94,35,0.0
NT,2025,21,95,35,0.0
NT,2025,21,96,35,0.0
NT,2025,21,97,35,0.0
NT,2025,21,98,35,0.0
NT,2025,21,99,35,0.0
NT,2025,21,100,35,0.0
NT,2025,21,101,35,0.0
NT,2025,21,102,35,0.0
NT,2025,21,103,35,0.0
NT,2025,21,104,35,0.0
NT,2025,21,105,35,0.0
NT,2025,21,106,35,0.0
NT,2025,21,107,35,0.0
NT,2025,21,108,35,0.0
NT,2025,21,109,35,0.0
NT,2025,21,110,35,0.0
NT,2025,21,111,35,0.0
NT,2025,21,112,35,0.0
NT,2025,21,113,35,0.0
NT,2025,21,114,35,0.0
NT,2025,21,115,35,0.0
NT,2025,21,116,35,0.0
NT,2025,21,117,35,0.0
NT,2025,21,118,35,0.0
NT,2025,21,119,35,0.0
NT,2025,21,120,35,0.0
NT,2025,21,121,35,0.0
NT,2025,21,122,35,0.0
NT,2025,21,123,35,0.0
NT,2025,21,124,35,0.0
NT,2025,21,125,35,0.0
NT,2025,21,126,35,0.0
NT,2025,21,127,35,0.0
NT,2025,21,128,35,0.0
NT,2025,21,129,35,0.0
NT,2025,21,130,35,0.0
NT,2025,21,131,35,0.0
NT,2025,21,132,35,0.0
NT,2025,21,133,35,0.0
NT,2025,21,134,35,0.0
NT,2025,21,135,35,0.0
NT,2025,21,136,35,0.0
NT,2025,21,137,35,0.0
NT,2025,21,138,35,0.0
NT,2025,21,139,35,0.0
NT,2025,21,140,35,0.0
NT,2025,21,141,35,0.0
NT,2025,21,142,35,0.0
NT,2025,21,143,35,0.0
NT,2025,21,144,35,0.0
NT,2025,21,145,35,0.0
NT,2025,21,146,35,0.0
NT,2025,21,147,35,0.0
NT,2025,21,148,35,0.0
NT,2025,21,149,35,0.0
NT,2025,21,150,35,0.0
NT,2025,21,151,35,0.0
NT,2025,21,152,35,0.0
NT,2025,21,153,35,0.0
NT,2025,21,154,35,0.0
NT,2025,21,155,35,0.0
NT,2025,21,156,35,0.0
NT,2025,21,157,35,0.0
NT,2025,21,158,35,0.0
NT,2025,21,159,35,0.0
NT,2025,21,160,35,0.0
NT,2025,21,161,35,0.0
NT,2025,21,162,35,0.0
NT,2025,21,163,35,0.0
NT,2025,21,164,35,0.0
NT,2025,21,165,35,0.0
NT,2025,21,166,35,0.0
NT,2025,21,167,35,0.0
NT,2030,21,0,35,0.0
NT,2030,21,1,35,0.0
NT,2030,21,2,35,0.0
NT,2030,21,3,35,0.0
NT,2030,21,4,35,0.0
NT,2030,21,5,35,0.0
NT,2030,21,6,35,0.0
NT,2030,21,7,35,0.0
NT,2030,21,8,35,0.0
NT,2030,21,9,35,0.0
NT,2030,21,10,35,0.0
NT,2030,21,11,35,0.0
NT,2030,21,12,35,0.0
NT,2030,21,13,35,0.0
