year,branch,dual_value
2025,88,-553598.0022114766
2030,88,0.0
2040,88,0.0
2050,88,0.0
2025,89,0.0
2030,89,0.0
2040,89,0.0
2050,89,0.0
2025,90,0.0
2030,90,0.0
2040,90,0.0
2050,90,0.0
2025,91,-79485.32985221944
2030,91,0.0
2040,91,0.0
2050,91,0.0
2025,92,0.0
2030,92,0.0
2040,92,0.0
2050,92,0.0
2025,93,-178364.72916430802
2030,93,0.0
2040,93,0.0
2050,93,0.0
2025,95,-223042.71054871692
2030,95,0.0
2040,95,0.0
2050,95,0.0
2025,96,0.0
2030,96,0.0
2040,96,0.0
2050,96,0.0
2025,97,0.0
2030,97,0.0
2040,97,0.0
2050,97,0.0
2025,99,-102584.70512019466
2030,99,0.0
2040,99,0.0
2050,99,0.0
2025,100,0.0
2030,100,0.0
2040,100,0.0
2050,100,0.0
2025,101,-168592.82347559603
2030,101,0.0
2040,101,0.0
2050,101,0.0
2025,102,0.0
2030,102,0.0
2040,102,0.0
2050,102,0.0
2025,103,0.0
2030,103,0.0
2040,103,0.0
2050,103,0.0
2025,104,-29247.76564687198
2030,104,0.0
2040,104,0.0
2050,104,0.0
2025,105,0.0
2030,105,0.0
2040,105,0.0
2050,105,0.0
2025,106,-255077.72633683513
2030,106,0.0
2040,106,0.0
2050,106,0.0
2025,107,-177324.36924531485
2030,107,0.0
2040,107,0.0
2050,107,0.0
2025,219,0.0
2030,219,0.0
2040,219,0.0
2050,219,0.0
