year,hour,ES1 0 CCGT,ES1 0 CCGT new,ES1 0 coal,ES1 0 coal new,ES1 0 offwind-ac,ES1 0 offwind-ac new,ES1 0 onwind,ES1 0 onwind new,ES1 0 ror,ES1 0 ror new,ES1 0 solar,ES1 0 solar new,PT1 0 CCGT,PT1 0 CCGT new,PT1 0 offwind-ac,PT1 0 offwind-ac new,PT1 0 onwind,PT1 0 onwind new,PT1 0 ror,PT1 0 ror new,PT1 0 solar,PT1 0 solar new
2025,0,0.0,0.0,528.9563756314401,0.0,1568.1266929681212,0.0,5319.767162859983,8191.786854473801,32.875546900829974,0.0,0.0,0.0,4145.0,4247.012916227501,996.6840359205272,0.0,734.0296211305774,1050.7633683456465,286.01086660939706,0.0,0.0,0.0
2025,1,0.0,0.0,9.014362879490363,0.0,1673.0716926571301,0.0,4920.986298512491,7577.713391788407,30.82418456561286,0.0,0.0,0.0,4145.0,4247.012916227501,1081.5336232410984,0.0,572.6280283446802,819.7169958152764,274.7619979779167,0.0,0.0,0.0
2025,2,0.0,0.0,0.0,0.0,1741.8978983998772,0.0,4651.677668472011,7163.011238888935,29.237686079610775,0.0,0.0,0.0,3125.0757624972307,4247.012916227501,1121.6349012749301,0.0,530.117812177009,758.8636233578486,264.17833273894166,0.0,0.0,0.0
2025,3,0.0,0.0,0.0,0.0,1840.3466715721072,0.0,4298.965112479093,6619.87730254626,27.53652912684169,0.0,0.0,0.0,2838.3158681696696,4247.012916227501,1099.9626893426132,0.0,512.9455297638184,734.2815018858638,250.16044569647164,0.0,0.0,0.0
2025,4,0.0,0.0,0.0,0.0,2022.2797868084722,0.0,4198.93942937619,6465.850058332886,26.418188332501725,0.0,0.0,0.0,2376.4964677121693,4247.012916227501,1103.7040965785427,0.0,540.754936528624,774.0906663700897,237.20199341024045,0.0,0.0,0.0
2025,5,0.0,0.0,0.0,0.0,2164.4066511259775,0.0,3842.037820868217,5916.265496563388,25.601679006288503,0.0,0.0,0.0,4145.0,3148.4433003111358,1075.7208912503147,0.0,549.9653741975037,787.2754074626677,228.56546764883842,0.0,0.0,0.0
2025,6,0.0,0.0,0.0,0.0,2321.987667814061,0.0,3736.234950694466,5753.342095120952,24.909464239736195,0.0,0.0,0.0,4145.0,3414.0039435703934,1074.8424570361015,0.0,552.3085560482104,790.6296721724525,221.00638909459346,0.0,0.0,0.0
2025,7,0.0,0.0,0.0,0.0,2331.8052972401583,0.0,3602.5916752355356,5547.547895191209,24.28425565731332,0.0,0.0,0.0,3466.4517618532,4247.012916227501,957.2251168996878,0.0,469.29985371136985,671.8027186564394,213.27030867745862,0.0,0.0,0.0
2025,8,0.0,0.0,0.0,0.0,2140.641094879044,0.0,3538.623604406482,5449.04493713284,23.740529538484502,0.0,676.5539070801044,1353.1078141602088,2371.023807873408,4247.012916227501,838.92216398568,0.0,404.60670193867804,579.1944749170806,207.15448399102826,0.0,1.9204929519751386,3.840985903950277
2025,9,0.0,0.0,0.0,0.0,1804.6636161135598,0.0,3514.5589714413027,5411.988363424468,23.206343115120358,0.0,2648.500884608964,5297.001769217928,0.0,2526.1871618934174,780.878017660147,0.0,391.50290493652636,560.4363901208689,202.52873204658437,0.0,216.96018145053196,433.9203629010639
2025,10,0.0,0.0,0.0,0.0,1452.5624369101522,0.0,3188.339507833691,4909.650529484825,22.61040267890241,0.0,3707.714824214585,7415.42964842917,0.0,2845.5891057065674,575.3381709104384,0.0,238.883334687921,341.96148244222945,198.59910254247922,0.0,335.56127102656905,671.1225420531381
