scenario,year,week,hour,branch,dual_value
mean,2025,11,0,35,0.0
mean,2025,11,1,35,0.0
mean,2025,11,2,35,0.0
mean,2025,11,3,35,0.0
mean,2025,11,4,35,0.0
mean,2025,11,5,35,0.0
mean,2025,11,6,35,0.0
mean,2025,11,7,35,0.0
mean,2025,11,8,35,0.0
mean,2025,11,9,35,0.0
mean,2025,11,10,35,0.0
mean,2025,11,11,35,0.0
mean,2025,11,12,35,0.0
mean,2025,11,13,35,0.0
mean,2025,11,14,35,0.0002999999999999028
mean,2025,11,15,35,0.0002999999999999028
mean,2025,11,16,35,0.0003000000000000007
mean,2025,11,17,35,0.0003000000000000007
mean,2025,11,18,35,0.0002999999999999028
mean,2025,11,19,35,0.0
mean,2025,11,20,35,0.0
mean,2025,11,21,35,0.0
mean,2025,11,22,35,0.0
mean,2025,11,23,35,0.0
mean,2025,11,24,35,0.0
mean,2025,11,25,35,0.0
mean,2025,11,26,35,0.0
mean,2025,11,27,35,0.0
mean,2025,11,28,35,0.0
mean,2025,11,29,35,0.0
mean,2025,11,30,35,0.0
mean,2025,11,31,35,0.0
mean,2025,11,32,35,0.0
mean,2025,11,33,35,0.0
mean,2025,11,34,35,0.0
mean,2025,11,35,35,0.0
mean,2025,11,36,35,0.0
mean,2025,11,37,35,0.0
mean,2025,11,38,35,0.0
mean,2025,11,39,35,0.0
mean,2025,11,40,35,0.0
mean,2025,11,41,35,0.0
mean,2025,11,42,35,0.0
mean,2025,11,43,35,2.3378062786788276
mean,2025,11,44,35,2.3378062786788276
mean,2025,11,45,35,0.0
mean,2025,11,46,35,0.0
mean,2025,11,47,35,0.0
mean,2025,11,48,35,0.0
mean,2025,11,49,35,0.0
mean,2025,11,50,35,0.0
mean,2025,11,51,35,0.0
mean,2025,11,52,35,0.0
mean,2025,11,53,35,0.0
mean,2025,11,54,35,0.0
mean,2025,11,55,35,0.0
mean,2025,11,56,35,0.0
mean,2025,11,57,35,0.0
mean,2025,11,58,35,0.0
mean,2025,11,59,35,0.0
mean,2025,11,60,35,0.0
mean,2025,11,61,35,0.0
mean,2025,11,62,35,0.0
mean,2025,11,63,35,0.0
mean,2025,11,64,35,0.0
mean,2025,11,65,35,0.0
mean,2025,11,66,35,0.0
mean,2025,11,67,35,0.0
mean,2025,11,68,35,0.0
mean,2025,11,69,35,0.0
mean,2025,11,70,35,0.0
mean,2025,11,71,35,0.0
mean,2025,11,72,35,0.0
mean,2025,11,73,35,0.0
mean,2025,11,74,35,0.0
mean,2025,11,75,35,0.0
mean,2025,11,76,35,0.0
mean,2025,11,77,35,0.0
mean,2025,11,78,35,0.0
mean,2025,11,79,35,0.0
mean,2025,11,80,35,0.0
mean,2025,11,81,35,0.0
mean,2025,11,82,35,0.0
mean,2025,11,83,35,0.0
mean,2025,11,84,35,0.0
mean,2025,11,85,35,0.0
mean,2025,11,86,35,0.0
mean,2025,11,87,35,0.0
mean,2025,11,88,35,0.0
mean,2025,11,89,35,0.0
mean,2025,11,90,35,0.0
mean,2025,11,91,35,0.0
mean,2025,11,92,35,0.0
mean,2025,11,93,35,0.0
mean,2025,11,94,35,0.0
mean,2025,11,95,35,0.0
mean,2025,11,96,35,0.0
mean,2025,11,97,35,0.0
mean,2025,11,98,35,0.0
mean,2025,11,99,35,0.0
mean,2025,11,100,35,0.0
mean,2025,11,101,35,0.0
mean,2025,11,102,35,0.0
mean,2025,11,103,35,0.0
mean,2025,11,104,35,0.0
mean,2025,11,105,35,0.0
mean,2025,11,106,35,0.0
mean,2025,11,107,35,0.0
mean,2025,11,108,35,0.0
mean,2025,11,109,35,0.0
mean,2025,11,110,35,0.0
mean,2025,11,111,35,0.0
mean,2025,11,112,35,0.0
mean,2025,11,113,35,0.0
mean,2025,11,114,35,0.0
mean,2025,11,115,35,0.0
mean,2025,11,116,35,0.0
mean,2025,11,117,35,0.0
mean,2025,11,118,35,0.0
mean,2025,11,119,35,0.0
mean,2025,11,120,35,0.0
mean,2025,11,121,35,0.0
mean,2025,11,122,35,0.0
mean,2025,11,123,35,0.0
mean,2025,11,124,35,0.0
mean,2025,11,125,35,0.0
mean,2025,11,126,35,0.0
mean,2025,11,127,35,0.0
mean,2025,11,128,35,0.0
mean,2025,11,129,35,0.0
mean,2025,11,130,35,0.0
mean,2025,11,131,35,0.0
mean,2025,11,132,35,0.0
mean,2025,11,133,35,0.0
mean,2025,11,134,35,0.0
mean,2025,11,135,35,0.0
mean,2025,11,136,35,0.0
mean,2025,11,137,35,0.0
mean,2025,11,138,35,0.0
mean,2025,11,139,35,0.0
mean,2025,11,140,35,0.0
mean,2025,11,141,35,0.0
mean,2025,11,142,35,0.0
mean,2025,11,143,35,0.0
mean,2025,11,144,35,0.0
mean,2025,11,145,35,0.0
mean,2025,11,146,35,0.0
mean,2025,11,147,35,0.0
mean,2025,11,148,35,0.0
mean,2025,11,149,35,0.0
mean,2025,11,150,35,0.0
mean,2025,11,151,35,0.0
mean,2025,11,152,35,0.0
mean,2025,11,153,35,0.0
mean,2025,11,154,35,0.0
mean,2025,11,155,35,0.0
mean,2025,11,156,35,0.0
mean,2025,11,157,35,0.0
mean,2025,11,158,35,0.0
mean,2025,11,159,35,0.0
mean,2025,11,160,35,0.0
mean,2025,11,161,35,0.0
mean,2025,11,162,35,0.0
mean,2025,11,163,35,0.0
mean,2025,11,164,35,0.0
mean,2025,11,165,35,0.0
mean,2025,11,166,35,0.0
mean,2025,11,167,35,0.0
mean,2025,21,0,35,0.0
mean,2025,21,1,35,0.0
mean,2025,21,2,35,0.0
mean,2025,21,3,35,0.0
mean,2025,21,4,35,0.0
mean,2025,21,5,35,0.0
mean,2025,21,6,35,0.0
mean,2025,21,7,35,0.0
mean,2025,21,8,35,0.0
mean,2025,21,9,35,0.0
mean,2025,21,10,35,0.0
mean,2025,21,11,35,0.0
mean,2025,21,12,35,0.0
mean,2025,21,13,35,0.0
mean,2025,21,14,35,0.0
mean,2025,21,15,35,0.0
mean,2025,21,16,35,0.0
mean,2025,21,17,35,0.0
mean,2025,21,18,35,0.0
mean,2025,21,19,35,0.0
mean,2025,21,20,35,3.0132170032398213
mean,2025,21,21,35,3.0132170032398213
mean,2025,21,22,35,2.3378062786788276
mean,2025,21,23,35,2.3378062786788276
mean,2025,21,24,35,0.0
mean,2025,21,25,35,0.0
mean,2025,21,26,35,0.0
mean,2025,21,27,35,0.0
mean,2025,21,28,35,0.0
mean,2025,21,29,35,0.0
mean,2025,21,30,35,0.0
mean,2025,21,31,35,0.0
mean,2025,21,32,35,0.0
mean,2025,21,33,35,0.0
mean,2025,21,34,35,0.0
mean,2025,21,35,35,0.0
mean,2025,21,36,35,0.0
mean,2025,21,37,35,0.0
mean,2025,21,38,35,0.0
mean,2025,21,39,35,0.0
mean,2025,21,40,35,0.0
mean,2025,21,41,35,0.0
mean,2025,21,42,35,0.0
mean,2025,21,43,35,0.0
mean,2025,21,44,35,0.0
mean,2025,21,45,35,0.0
mean,2025,21,46,35,0.0
mean,2025,21,47,35,0.0
mean,2025,21,48,35,0.0
mean,2025,21,49,35,0.0
mean,2025,21,50,35,0.0
mean,2025,21,51,35,0.0
mean,2025,21,52,35,0.0
mean,2025,21,53,35,0.0
mean,2025,21,54,35,0.0
mean,2025,21,55,35,0.0
mean,2025,21,56,35,0.0
mean,2025,21,57,35,0.0
mean,2025,21,58,35,0.0
mean,2025,21,59,35,0.0
mean,2025,21,60,35,0.0
mean,2025,21,61,35,0.0
mean,2025,21,62,35,0.0
mean,2025,21,63,35,0.0
mean,2025,21,64,35,0.0
mean,2025,21,65,35,0.0
mean,2025,21,66,35,0.0
mean,2025,21,67,35,0.0
mean,2025,21,68,35,0.0
mean,2025,21,69,35,0.0
mean,2025,21,70,35,0.0
mean,2025,21,71,35,0.0
mean,2025,21,72,35,0.0
mean,2025,21,73,35,0.0
mean,2025,21,74,35,0.0
mean,2025,21,75,35,0.0
mean,2025,21,76,35,0.0
mean,2025,21,77,35,0.0
mean,2025,21,78,35,0.0
mean,2025,21,79,35,0.0
mean,2025,21,80,35,0.0
mean,2025,21,81,35,0.0
mean,2025,21,82,35,0.0
mean,2025,21,83,35,0.0
mean,2025,21,84,35,0.0
mean,2025,21,85,35,0.0
mean,2025,21,86,35,0.0
mean,2025,21,87,35,0.0
mean,2025,21,88,35,0.0
mean,2025,21,89,35,0.0
mean,2025,21,90,35,0.0
mean,2025,21,91,35,0.0
mean,2025,21,92,35,0.0
mean,2025,21,93,35,0.0
mean,2025,21,94,35,0.0
mean,2025,21,95,35,0.0
mean,2025,21,96,35,0.0
mean,2025,21,97,35,0.0
mean,2025,21,98,35,0.0
mean,2025,21,99,35,0.0
mean,2025,21,100,35,0.0
mean,2025,21,101,35,0.0
mean,2025,21,102,35,0.0
mean,2025,21,103,35,0.0
mean,2025,21,104,35,0.0
mean,2025,21,105,35,0.0
mean,2025,21,106,35,0.0
mean,2025,21,107,35,0.0
mean,2025,21,108,35,0.0
mean,2025,21,109,35,0.0
mean,2025,21,110,35,0.0
mean,2025,21,111,35,0.0
mean,2025,21,112,35,0.0
mean,2025,21,113,35,0.0
mean,2025,21,114,35,0.0
mean,2025,21,115,35,0.0
mean,2025,21,116,35,0.0
mean,2025,21,117,35,0.0
mean,2025,21,118,35,0.0
mean,2025,21,119,35,0.0
mean,2025,21,120,35,0.0
mean,2025,21,121,35,0.0
mean,2025,21,122,35,0.0
mean,2025,21,123,35,0.0
mean,2025,21,124,35,0.0
mean,2025,21,125,35,0.0
mean,2025,21,126,35,0.0
mean,2025,21,127,35,0.0
mean,2025,21,128,35,0.0
mean,2025,21,129,35,0.0
mean,2025,21,130,35,0.0
mean,2025,21,131,35,0.0
mean,2025,21,132,35,0.0
mean,2025,21,133,35,0.0
mean,2025,21,134,35,0.0
mean,2025,21,135,35,0.0
mean,2025,21,136,35,0.0
mean,2025,21,137,35,0.0
mean,2025,21,138,35,0.0
mean,2025,21,139,35,0.0
mean,2025,21,140,35,0.0
mean,2025,21,141,35,0.0
mean,2025,21,142,35,0.0
mean,2025,21,143,35,0.0
mean,2025,21,144,35,0.0
mean,2025,21,145,35,0.0
mean,2025,21,146,35,0.0
mean,2025,21,147,35,0.0
mean,2025,21,148,35,0.0
mean,2025,21,149,35,0.0
mean,2025,21,150,35,0.0
mean,2025,21,151,35,0.0
mean,2025,21,152,35,0.0
mean,2025,21,153,35,0.0
mean,2025,21,154,35,0.0
mean,2025,21,155,35,0.0
mean,2025,21,156,35,0.0
mean,2025,21,157,35,0.0
mean,2025,21,158,35,0.0
mean,2025,21,159,35,0.0
mean,2025,21,160,35,0.0
mean,2025,21,161,35,0.0
mean,2025,21,162,35,0.0
mean,2025,21,163,35,0.0
mean,2025,21,164,35,2.3378062786788276
mean,2025,21,165,35,0.0
mean,2025,21,166,35,0.0
mean,2025,21,167,35,0.0
mean,2025,42,0,35,0.0
mean,2025,42,1,35,0.0
mean,2025,42,2,35,0.0
mean,2025,42,3,35,0.0
mean,2025,42,4,35,0.0
mean,2025,42,5,35,0.0
mean,2025,42,6,35,0.0
mean,2025,42,7,35,0.0
mean,2025,42,8,35,0.0
mean,2025,42,9,35,0.0
mean,2025,42,10,35,0.0
mean,2025,42,11,35,0.0
mean,2025,42,12,35,0.0
mean,2025,42,13,35,0.0
mean,2025,42,14,35,0.0
mean,2025,42,15,35,0.0
mean,2025,42,16,35,0.0
mean,2025,42,17,35,0.0
mean,2025,42,18,35,0.0
mean,2025,42,19,35,0.0
mean,2025,42,20,35,0.0
mean,2025,42,21,35,0.0
mean,2025,42,22,35,0.0
mean,2025,42,23,35,0.0
mean,2025,42,24,35,0.0
mean,2025,42,25,35,0.0
mean,2025,42,26,35,0.0
mean,2025,42,27,35,0.0
mean,2025,42,28,35,0.0
