scenario,year,week,hour,branch,value
NT,2025,21,0,88,-6563.107577256101
NT,2025,21,1,88,-6563.107577256101
NT,2025,21,2,88,-6563.107577256101
NT,2025,21,3,88,-6563.107577256101
NT,2025,21,4,88,-5773.868970869989
NT,2025,21,5,88,-5400.410046232951
NT,2025,21,6,88,-5508.311865377359
NT,2025,21,7,88,-5673.830432006161
NT,2025,21,8,88,-6563.107577256101
NT,2025,21,9,88,-6563.107577256101
NT,2025,21,10,88,-6563.107577256101
NT,2025,21,11,88,-6563.107577256101
NT,2025,21,12,88,-6563.107577256101
NT,2025,21,13,88,-6563.107577256101
NT,2025,21,14,88,-6563.107577256101
NT,2025,21,15,88,-6563.107577256101
NT,2025,21,16,88,-6563.107577256101
NT,2025,21,17,88,-6563.107577256101
NT,2025,21,18,88,-6563.107577256101
NT,2025,21,19,88,-6563.107577256101
NT,2025,21,20,88,-6563.107577256101
NT,2025,21,21,88,-6563.107577256101
NT,2025,21,22,88,-6563.107577256101
NT,2025,21,23,88,-6563.107577256101
NT,2025,21,24,88,-6563.107577256101
NT,2025,21,25,88,-6563.107577256101
NT,2025,21,26,88,-6563.107577256101
NT,2025,21,27,88,-6563.107577256101
NT,2025,21,28,88,-6563.107577256101
NT,2025,21,29,88,-6563.107577256101
NT,2025,21,30,88,-5553.504006882254
NT,2025,21,31,88,-6563.107577256101
NT,2025,21,32,88,-6563.107577256101
NT,2025,21,33,88,-6563.107577256101
NT,2025,21,34,88,-6563.107577256101
NT,2025,21,35,88,-6563.107577256101
NT,2025,21,36,88,-6563.107577256101
NT,2025,21,37,88,-6563.107577256101
NT,2025,21,38,88,-6563.107577256101
NT,2025,21,39,88,-6563.107577256101
NT,2025,21,40,88,-6563.107577256101
NT,2025,21,41,88,-6563.107577256101
NT,2025,21,42,88,-6563.107577256101
NT,2025,21,43,88,-6563.107577256101
NT,2025,21,44,88,-6563.107577256101
NT,2025,21,45,88,-6563.107577256101
NT,2025,21,46,88,-6563.107577256101
NT,2025,21,47,88,-6563.107577256101
NT,2025,21,48,88,-6563.107577256101
NT,2025,21,49,88,-6563.107577256101
NT,2025,21,50,88,-6563.107577256101
NT,2025,21,51,88,-6563.107577256101
NT,2025,21,52,88,-6563.107577256101
NT,2025,21,53,88,-6563.107577256101
NT,2025,21,54,88,-6563.107577256101
NT,2025,21,55,88,-6563.107577256101
NT,2025,21,56,88,-6563.107577256101
NT,2025,21,57,88,-6563.107577256101
NT,2025,21,58,88,-6563.107577256101
NT,2025,21,59,88,-6563.107577256101
NT,2025,21,60,88,-6563.107577256101
NT,2025,21,61,88,-6563.107577256101
NT,2025,21,62,88,-6563.107577256101
NT,2025,21,63,88,-6563.107577256101
NT,2025,21,64,88,-6563.107577256101
NT,2025,21,65,88,-6563.107577256101
NT,2025,21,66,88,-6563.107577256101
NT,2025,21,67,88,-6563.107577256101
NT,2025,21,68,88,-6563.107577256101
NT,2025,21,69,88,-6563.107577256101
NT,2025,21,70,88,-6563.107577256101
NT,2025,21,71,88,-6563.107577256101
NT,2025,21,72,88,-6563.107577256101
NT,2025,21,73,88,-6563.107577256101
NT,2025,21,74,88,-6563.107577256101
NT,2025,21,75,88,-6563.107577256101
NT,2025,21,76,88,-6563.107577256101
NT,2025,21,77,88,-6563.107577256101
NT,2025,21,78,88,-6563.107577256101
NT,2025,21,79,88,-6563.107577256101
NT,2025,21,80,88,-6563.107577256101
NT,2025,21,81,88,-6563.107577256101
NT,2025,21,82,88,-6563.107577256101
