,lower_bound,upper_bound,count,percent,count_2025,count_2030,count_2040,count_2050
0,0.0,1.0,18117,17.506377551020407,1595,2838,8305,5379
1,1.0,2.0,0,0.0,0,0,0,0
2,2.0,3.0,0,0.0,0,0,0,0
3,3.0,4.0,0,0.0,0,0,0,0
4,4.0,5.0,0,0.0,0,0,0,0
5,5.0,6.0,0,0.0,0,0,0,0
6,6.0,7.0,0,0.0,0,0,0,0
7,7.0,8.0,0,0.0,0,0,0,0
8,8.0,9.0,0,0.0,0,0,0,0
9,9.0,10.0,0,0.0,0,0,0,0
10,10.0,11.0,0,0.0,0,0,0,0
11,11.0,12.0,0,0.0,0,0,0,0
12,12.0,13.0,0,0.0,0,0,0,0
13,13.0,14.0,0,0.0,0,0,0,0
14,14.0,15.0,0,0.0,0,0,0,0
15,15.0,16.0,0,0.0,0,0,0,0
16,16.0,17.0,0,0.0,0,0,0,0
17,17.0,18.0,0,0.0,0,0,0,0
18,18.0,19.0,0,0.0,0,0,0,0
19,19.0,20.0,0,0.0,0,0,0,0
20,20.0,21.0,0,0.0,0,0,0,0
21,21.0,22.0,0,0.0,0,0,0,0
22,22.0,23.0,0,0.0,0,0,0,0
23,23.0,24.0,0,0.0,0,0,0,0
24,24.0,25.0,0,0.0,0,0,0,0
25,25.0,26.0,0,0.0,0,0,0,0
26,26.0,27.0,0,0.0,0,0,0,0
27,27.0,28.0,0,0.0,0,0,0,0
28,28.0,29.0,0,0.0,0,0,0,0
29,29.0,30.0,0,0.0,0,0,0,0
30,30.0,31.0,0,0.0,0,0,0,0
31,31.0,32.0,4,0.003865182436611008,0,4,0,0
32,32.0,33.0,12,0.011595547309833025,0,6,6,0
33,33.0,34.0,6,0.0057977736549165125,0,1,5,0
34,34.0,35.0,6,0.0057977736549165125,0,0,0,6
35,35.0,36.0,5,0.00483147804576376,0,0,0,5
36,36.0,37.0,0,0.0,0,0,0,0
37,37.0,38.0,7,0.006764069264069264,0,0,0,7
38,38.0,39.0,7,0.006764069264069264,0,2,1,4
39,39.0,40.0,26,0.02512368583797155,0,8,16,2
40,40.0,41.0,23,0.022224799010513295,0,1,9,13
41,41.0,42.0,31,0.029955163883735314,0,0,16,15
42,42.0,43.0,23,0.022224799010513295,0,0,11,12
43,43.0,44.0,16,0.015460729746444033,0,0,12,4
44,44.0,45.0,11,0.010629251700680272,0,0,2,9
45,45.0,46.0,20,0.01932591218305504,2,1,7,10
46,46.0,47.0,30,0.028988868274582563,9,6,10,5
47,47.0,48.0,45,0.04348330241187384,0,10,15,20
48,48.0,49.0,66,0.06377551020408163,7,18,15,26
49,49.0,50.0,106,0.10242733457019172,10,19,25,52
50,50.0,51.0,223,0.2154839208410637,19,30,50,124
51,51.0,52.0,526,0.5082714904143476,41,66,219,200
52,52.0,53.0,2100,2.029220779220779,129,289,957,725
53,53.0,54.0,11464,11.077612863327149,1086,1753,5268,3357
54,54.0,55.0,33852,32.711038961038966,5219,4993,14640,9000
55,55.0,56.0,20512,19.82065553494125,4086,3075,8214,5137
56,56.0,57.0,7578,7.3225881261595545,1242,948,3142,2246
57,57.0,58.0,4722,4.562847866419295,884,453,1870,1515
58,58.0,59.0,1900,1.8359616573902289,355,149,697,699
59,59.0,60.0,493,0.4763837353123067,22,43,216,212
60,60.0,61.0,229,0.2212816944959802,3,13,116,97
61,61.0,62.0,155,0.14977581941867657,13,7,52,83
62,62.0,63.0,122,0.11788806431663575,26,7,36,53
63,63.0,64.0,97,0.09373067408781695,22,5,19,51
64,64.0,65.0,76,0.07343846629560916,3,5,41,27
65,65.0,66.0,63,0.060876623376623376,2,1,34,26
66,66.0,67.0,40,0.03865182436611008,6,2,19,13
67,67.0,68.0,60,0.057977736549165125,3,4,35,18
68,68.0,69.0,136,0.13141620284477426,0,16,70,50
69,69.0,70.0,76,0.07343846629560916,0,8,39,29
70,70.0,inf,503,0.4860466914038342,0,3,163,337
